,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,जन्नत 2,Jannat 2
2,टोटल धमाल,Total Dhamaal
3,महेश भट्ट,Mahesh Bhatt
4,अभिनेता,Actor
5,अमृता सिंह,Amrita Singh
6,इंटरनेट मूवी डेटाबेस,IMDb
7,करीना कपूर,Kareena Kapoor Khan
8,मंसूर अली ख़ान पटौदी,Mansoor Ali Khan Pataudi
9,शर्मिला टैगोर,Sharmila Tagore
10,सारा अली ख़ान,Sara Ali Khan
11,हिन्दी,Hindi
12,1994,1994
13,1996,1996
14,1998,1998
15,1999,1999
16,2003,2003
17,2005,2005
18,2007,2007
19,2011,2011
20,अंग्रेज़ी,English language
21,अमोल पालेकर,Amol Palekar
22,अरुंधति राय,Arundhati Roy
23,अर्थशास्त्र,Economics
24,अशोक,Ashoka
25,आदित्य चोपड़ा,Aditya Chopra
26,आशुतोष गोवारिकर,Ashutosh Gowariker
27,इंटरनेट मूवी डेटाबेस,IMDb
28,इस्लाम,Islam
29,ओम शांति ओम,Om Shanti Om
30,कभी अलविदा ना कहना,Kabhi Alvida Naa Kehna
31,कभी खुशी कभी ग़म,Kabhi Khushi Kabhie Gham...
32,कमल हसन,Kamal Haasan
33,करण जोहर,Karan Johar
34,कल हो ना हो,Kal Ho Naa Ho
35,कुछ कुछ होता है,Kuch Kuch Hota Hai
36,कुरान,Quran
37,गौरी ख़ान,Gauri Khan
38,जिहाद,Jihad
39,जूही चावला,Juhi Chawla
40,दिल आशना है,Dil Aashna Hai
41,दिल तो पागल है,Dil To Pagal Hai
42,दिलवाले दुल्हनिया ले जायेंगे,Dilwale Dulhania Le Jayenge
43,दिलीप कुमार,Dilip Kumar
44,दिल्ली,Delhi
45,दिल्ली विश्वविद्यालय,University of Delhi
46,दूरदर्शन,Television
47,देवदास,Devdas
48,नई दिल्ली,New Delhi
49,पद्म श्री,Padma Shri
50,परदेस,Pardes (film)
51,फ़िल्मफ़ेयर,Filmfare
52,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार,Filmfare Award for Best Actor
53,फिर भी दिल है हिन्दुस्तानी,Phir Bhi Dil Hai Hindustani
54,बाज़ीगर,Baazigar
55,मणि रत्नम,Mani Ratnam
56,मुम्बई,Mumbai
57,मैं हूँ ना,Main Hoon Na
58,मोहब्बतें,Mohabbatein
59,यश चोपड़ा,Yash Chopra
60,येस बॉस,Yes Boss (film)
61,रब ने बना दी जोड़ी,Rab Ne Bana Di Jodi
62,रा.वन,Ra.One
63,वीर-ज़ारा,Veer-Zaara
64,वीर ज़ारा,Veer-Zaara
65,शरतचंद्र चट्टोपाध्याय,Sarat Chandra Chattopadhyay
66,संजय लीला भंसाली,Sanjay Leela Bhansali
67,सर्कस,Circus
68,सुभाष घई,Subhash Ghai
69,स्वदेश,Swades
70,हिंदू,Hinduism
71,१९८८,1988
72,१९८९,1989
73,१९९१,1991
74,१९९३,1993
75,१९९५,1995
76,१९९७,1997
77,२०००,2000
78,अमृता राव,Amrita Rao
79,आयशा टाकिया,Ayesha Takia
80,ईशा देओल,Esha Deol
81,करीना कपूर,Kareena Kapoor Khan
82,कुछ कुछ होता है,Kuch Kuch Hota Hai
83,चुप चुप के,Chup Chup Ke
84,जब वी मेट,Jab We Met
85,जॉन अब्राहम,John Abraham
86,ट्यूलिप जोशी,Tulip Joshi
87,तरण आदर्श,Taran Adarsh
88,नीलिमा अज़ीम,Neelima Azeem
89,पंकज कपूर,Pankaj Kapur
90,पेप्सी,Pepsi
91,प्रियदर्शन,Priyadarshan
92,बिहार,Bihar
93,भारत,India
94,मल्लिका शेरावत,Mallika Sherawat
95,मार्क्सवाद,Marxism
96,रानी मुखर्जी,Rani Mukerji
97,विद्यालय,School
98,विवाह,Marriage
99,शहनाज़ ट्रेज़रीवाला,Shenaz Treasury
100,शाहरुख खान,Shah Rukh Khan
101,सुप्रिया पाठक,Supriya Pathak
102,सुभाष घई,Subhash Ghai
103,सूरज बड़जात्या,Sooraj Barjatya
104,सोहा अली खान,Soha Ali Khan
105,स्टार स्क्रीन पुरस्कार,Screen Awards
106,१८ जुलाई,July 18
107,२००८,2008
