,hindi,english
0,तमिल भाषा,Tamil language
1,भारत,India
2,गेहूँ,Wheat
3,पद्म भूषण,Padma Bhushan
4,भारत,India
5,भारत सरकार,Government of India
6,राष्ट्रीय किसान आयोग,National Commission on Farmers
7,हरित क्रांति,Green Revolution
8,१९६६,1966
9,१९७२,1972
10,अवतार,Avatar
11,आइस हॉकी,Ice hockey
12,इंटरनेट,Internet
13,इंडियाना विश्वविद्यालय,Indiana University
14,कॉर्नेल विश्वविद्यालय,Cornell University
15,क्रिकेट,Cricket
16,गूगल,Google
17,गेंद,Ball
18,चूना पत्थर,Limestone
19,जर्मन,German language
20,ज़िप कोड,ZIP Code
21,जालस्थल,Website
22,जिम्नास्टिक,Gymnastics
23,जूडो,Judo
24,टाइगर वुड्स,Tiger Woods
25,टेनिस,Tennis
26,डेविड पैकर्ड,David Packard
27,डोली,Doli (film)
28,ड्यूक विश्वविद्यालय,Duke University
29,ताइपे,Taipei
30,तीरंदाजी,Archery
31,निजी विश्वविद्यालय,University
32,नोबेल पुरस्कार,Nobel Prize
33,पुलित्जर पुरस्कार,Pulitzer Prize
34,पूर्वी एशिया,East Asia
35,पोलो,Polo
36,प्रथम विश्व युद्ध,World War I
37,फील्ड हॉकी,Field hockey
38,फेसबुक,Facebook
39,बीजिंग,Beijing
40,बैडमिंटन,Badminton
41,बोस्टन,Boston
42,भौतिक विज्ञानी,Physicist
43,माइक ब्रायन,Mike Bryan
44,मातृ दिवस,Mother's Day
45,याहू!,Yahoo!
46,यू ट्यूब,YouTube
47,रंग,Color
48,रचनात्मक लेखन,Creative writing
49,लाल,Red
50,वर्तमान,Present
51,वर्नर हाइजेनबर्ग,Werner Heisenberg
52,वालीबॉल,Volleyball
53,वियना,Vienna
54,व्यवसायी,Businessperson
55,संयुक्त राज्य अमेरिका,United States
56,सहशिक्षा,Mixed-sex education
57,सामाजिक,Social
58,सार्वजनिक नीति,Public policy
59,सिस्को सिस्टम्स,Cisco Systems
60,सेन फ्रांसिस्को,San Francisco
61,सोवियत संघ,Soviet Union
62,हर्बर्ट हूवर,Herbert Hoover
63,भारत,India
64,माइक्रोसॉफ़्ट,Microsoft
