,hindi,english
0,अभिनेता,Actor
1,उत्तराखण्ड,Uttarakhand
2,करनाल,Karnal
3,गिद्दड़बाहा,Giddarbaha
4,नकोदर,Nakodar
5,पंजाबी यूनिवर्सिटी,Punjabi University
6,पॉल मॅक्कार्टनी,Paul McCartney
7,बॉब डायलन,Bob Dylan
8,ब्रिटेन,Britain
9,मलोट,Malout
10,रोपड़,Rupnagar
11,हरियाणा,Haryana
12,कला,Art
13,पद्म भूषण,Padma Bhushan
14,भारत,India
15,भारत सरकार,Government of India
16,महाराष्ट्र,Maharashtra
17,हिन्दी सिनेमा,Bollywood
18,२००९,2009
19,एक बार मुस्कुरा दो,Ek Bar Mooskura Do
20,एक मुसाफ़िर एक हसीना,Ek Musafir Ek Hasina
21,कश्मीर की कली,Kashmir Ki Kali
22,गीता दत्त,Geeta Dutt
23,मेरे सनम,Mere Sanam
24,लता मंगेशकर,Lata Mangeshkar
25,हमसाया,Humsaya
26,अमृतसर,Amritsar
27,इंटरनेट मूवी डेटाबेस,IMDb
28,किशोर कुमार,Kishore Kumar
29,किस्मत,Kismat
30,तलत महमूद,Talat Mahmood
31,नौशाद,Naushad
32,पार्श्वगायक,Playback singer
33,भारत,India
34,महाराष्ट्र,Maharashtra
35,रोटी कपड़ा और मकान,Roti Kapda Aur Makaan
36,लता मंगेशकर,Lata Mangeshkar
37,साहिर लुधियानवी,Sahir Ludhianvi
38,१९३४,1934
39,२००८,2008
40,९ जनवरी,January 9
