,hindi,english
0,अभिनेता,Actor
1,तमिल,Tamils
2,दक्षिण,South
3,फ़िल्म निर्देशक,Film director
4,फ़िल्म निर्माता,Film producer
5,भारत,India
6,भारतीय,Indian
7,अजय देवगन,Ajay Devgn
8,अभिषेक बच्चन,Abhishek Bachchan
9,अमिताभ बच्चन,Amitabh Bachchan
10,अरशद वारसी,Arshad Warsi
11,आयशा टाकिया,Ayesha Takia
12,करण जौहर,Karan Johar
13,कर्नाटक,Karnataka
14,गोलमाल,Golmaal
15,गोलमाल रिटर्न्स,Golmaal Returns
16,चेन्नई एक्सप्रेस,Chennai Express
17,प्यार तो होना ही था,Pyaar To Hona Hi Tha
18,फूल और काँटे,Phool Aur Kaante
19,बोल बच्चन,Bol Bachchan
20,सिंघम,Singham
21,सिम्बा,Simmba
22,हिन्दी,Hindi
23,आदित्य चोपड़ा,Aditya Chopra
24,इंटरनेट मूवी डेटाबेस,IMDb
25,किम शर्मा,Kim Sharma
26,नेहा शर्मा,Neha Sharma
27,प्रीति झंगियानी,Preeti Jhangiani
28,बिग बॉस,Bigg Boss (Hindi TV series)
29,बिग बॉस 3,Bigg Boss (Hindi season 3)
30,भारत,India
31,भारतीय सिनेमा,Cinema of India
32,मेरे यार की शादी है,Mere Yaar Ki Shaadi Hai
33,मोहब्बतें,Mohabbatein
34,यश राज फ़िल्म्स,Yash Raj Films
35,शमा सिकंदर,Shama Sikander
36,शिल्पा शेट्टी,Shilpa Shetty
37,सना खान,Sana Khan
38,सुरवीन चावला,Surveen Chawla
39,अगुम्बे,Agumbe
40,अनंत नाग,Anant Nag
41,इंटरनेट मूवी डेटाबेस,IMDb
42,कर्नाटक,Karnataka
43,गिरीश कर्नाड,Girish Karnad
44,भारत,India
45,होन्नावर,Honnavar
