,hindi,english
0,गायक,Singer
1,झलक दिखला जा,Jhalak Dikhhla Jaa
2,भारत,India
3,अभिनेता,Actor
4,इंटरनेट मूवी डेटाबेस,IMDb
5,भारत,India
6,महाराष्ट्र,Maharashtra
7,रंग दे बसंती,Rang De Basanti
8,राजकुमार हिरानी,Rajkumar Hirani
9,हिन्दी,Hindi
10,३ ईडियट्स,3 Idiots
11,अनुराग कश्यप,Anurag Kashyap
12,इंटरनेट मूवी डेटाबेस,IMDb
13,गैंग्स ऑफ वासेपुर,Gangs of Wasseypur
14,गैंग्स ऑफ वासेपुर – भाग 2,Gangs of Wasseypur – Part 2
15,मेरठिया गैंगस्टर्स,Meeruthiya Gangsters
16,अजय देवगन,Ajay Devgn
17,इंटरनेट मूवी डेटाबेस,IMDb
18,एक घर बनाऊंगा,Ek Ghar Banaunga
19,तनुश्री दत्ता,Tanushree Dutta
20,फ़िल्म,Film
21,भारतीय,Indian
