,hindi,english
0,दिल्ली,Delhi
1,पद्म भूषण,Padma Bhushan
2,पद्म विभूषण,Padma Vibhushan
3,पद्म श्री,Padma Shri
4,भारत,India
5,भारत सरकार,Government of India
6,अभिनेता,Actor
7,इंटरनेट मूवी डेटाबेस,IMDb
8,कला,Art
9,पद्म भूषण,Padma Bhushan
10,बीसवीं शताब्दी,20th century
11,भारत,India
12,भारत सरकार,Government of India
13,१ अक्टूबर,October 1
14,१९२८,1928
15,१९८४,1984
16,२००१,2001
17,२१ जुलाई,July 21
18,1954,1954
19,1976,1976
20,1981,1981
21,2006,2006
22,2008,2008
23,7 नवंबर,November 7
24,अकादमी पुरस्कार,Academy Awards
25,अमिताभ बच्चन,Amitabh Bachchan
26,अय्यंगार,Iyengar
27,इंटरनेट मूवी डेटाबेस,IMDb
28,इंडियन,Indian
29,ऋषि कपूर,Rishi Kapoor
30,कन्नड,Kannada
31,कन्याकुमारी,Kanyakumari
32,कराटे,Karate
33,कोरियोग्राफर,Choreography
34,गिरफ़्तार,Arrest
35,गीतकार,Lyricist
36,गुना,"Guna, India"
37,गुरु,Guru
38,गौतम मेनन,Gautham Menon
39,चार्ली चैपलिन,Charlie Chaplin
40,जेमिनी गणेशन,Gemini Ganesan
41,टाइम,Time (magazine)
42,तमिल,Tamils
43,तमिल सिनेमा,Tamil cinema
44,तेनाली,Tenali
45,तेलुगु,Telugu language
46,तेलुगु भाषा,Telugu language
47,द हिंदू,The Hindu
48,पद्मश्री,Padma Shri
49,पार्श्वगायक,Playback singer
50,पुष्पक,Pushpaka Vimana (1987 film)
51,प्रियदर्शन,Priyadarshan
52,फ़िल्म निर्माता,Film producer
53,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
54,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार,Filmfare Award for Best Actor
55,बंबई,Mumbai
56,बालू महेंद्र,Balu Mahendra
57,बेंगलूर,Bangalore
58,भरतनाट्यम,Bharatanatyam
59,भारत,India
60,भारत के विभाजन,Partition of India
61,भारतीय सिनेमा,Cinema of India
62,मणि रत्नम,Mani Ratnam
63,मणि रत्नम्,Mani Ratnam
64,मणिरत्नम,Mani Ratnam
65,मद्रास राज्य,Madras Presidency
66,मलयालम,Malayalam
67,महात्मा गांधी की हत्या,Assassination of Mahatma Gandhi
68,माधवन,R. Madhavan
69,मोहनलाल,Mohanlal
70,रंजीत,Ranjeet
71,रजनीकांत,Rajinikanth
72,रजनीकान्त,Rajinikanth
73,रामनाथपुरम,Ramanathapuram
74,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
75,वरदराजन मुदलियार,Varadarajan Mudaliar
76,शाहरुख खान,Shah Rukh Khan
77,शिवाजी गणेशन,Sivaji Ganesan
78,श्रीदेवी,Sridevi
79,श्रीविद्या,Srividya
80,श्रुति हासन,Shruti Haasan
81,सागर,Sagar
82,स्तन कैंसर,Breast cancer
83,हिंदी,Hindi
84,हिन्दी,Hindi
85,हिन्दी भाषा,Hindi
86,हॉलीवुड,Hollywood
