,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,इलियाना डी'क्रूज़,Ileana D'Cruz
2,खुशबू सुंदर,Khushbu Sundar
3,जूली 2,Julie 2
4,पहलाज निहलानी,Pahlaj Nihalani
5,मल्लिका शेरावत,Mallika Sherawat
6,शमा सिकंदर,Shama Sikander
7,सन्नी लियोन,Sunny Leone
8,सामन्था रूथ प्रभु,Samantha Akkineni
9,सोनाक्षी सिन्हा,Sonakshi Sinha
10,हर्षिका पूनच्चा,Harshika Poonacha
11,हमजोली,Humjoli
12,हिन्दी,Hindi
13,मैसूर,Mysore
14,शमा जैदी,Shama Zaidi
15,इंटरनेट मूवी डेटाबेस,IMDb
16,बृजेन्द्र पाल सिंह,B. P. Singh
17,सीआईडी (धारावाहिक),CID (Indian TV series)
