,hindi,english
0,अमृतसर,Amritsar
1,गुरु गोबिन्द सिंह,Guru Gobind Singh
2,पाकिस्तान,Pakistan
3,राजपूत,Rajput
4,अमृतसर,Amritsar
5,तलवंडी,Talwandi
6,सिख,Sikhs
7,सिख धर्म,Sikhism
8,अंग्रेज,English people
9,अंग्रेज-सिख युद्ध,Anglo-Sikh wars
10,अमृतसर,Amritsar
11,ईस्ट इंडिया कम्पनी,East India Company
12,काशी विश्वनाथ मंदिर,Kashi Vishwanath Temple
13,कोहिनूर,Koh-i-Noor
14,कोहिनूर हीरा,Koh-i-Noor
15,गुजरांवाला,Gujranwala
16,गुरु नानक,Guru Nanak
17,नैपोलियन,Napoleon
18,पंजाब,Punjab
19,पाकिस्तान,Pakistan
20,पेशावर,Peshawar
21,महारानी विक्टोरिया,Victoria of the United Kingdom
22,मुलतान,Multan
23,मृत्युदण्ड,Capital punishment
24,यमुना,Yamuna
25,लकवा,Paralysis
26,लाहौर,Lahore
27,शीतला,Shitala
28,संधि,Sandhi
29,सतलज,Sutlej
30,सरदार हरि सिंह नलवा,Hari Singh Nalwa
31,सिंधु,Indus River
32,सिख,Sikhs
33,सिख साम्राज्य,Sikh Empire
34,हरिमन्दिर साहिब,Golden Temple
35,अहमद शाह अब्दाली,Ahmad Shah Durrani
36,कलात,"Kalat, Pakistan"
37,कश्मीर,Kashmir
38,काबुल,Kabul
39,ख़ैबर दर्रा,Khyber Pass
40,गुजरांवाला,Gujranwala
41,गोरखा,Gurkha
42,पठान,Pashtuns
43,पेशावर,Peshawar
44,फ़तह खान,Fateh Khan
45,बघेल सिंह,Baghel Singh
46,बन्दा सिंह बहादुर,Banda Singh Bahadur
47,महाराजा रणजीत सिंह,Ranjit Singh
48,मुल्तान,Multan
49,लाहौर,Lahore
50,सिख,Sikhs
51,सिख साम्राज्य,Sikh Empire
52,सिन्धु नदी,Indus River
53,हेरात,Herat
