,hindi,english
0,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
1,फ़िल्मफ़ेयर सर्वश्रेष्ठ सहायक अभिनेत्री पुरस्कार,Filmfare Award for Best Supporting Actress
2,रंगीला,Rangeela (1995 film)
3,हिन्दी,Hindi
4,आई हेट लव स्टोरी,I Hate Luv Storys
5,आदित्य चोपड़ा,Aditya Chopra
6,कभी अलविदा ना कहना,Kabhi Alvida Naa Kehna
7,कभी खुशी कभी ग़म,Kabhi Khushi Kabhie Gham...
8,कल हो ना हो,Kal Ho Naa Ho
9,कुछ कुछ होता है,Kuch Kuch Hota Hai
10,धर्मा प्रोडक्शन्स,Dharma Productions
11,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
12,माइ नेम इज़ ख़ान,My Name Is Khan
13,यश चोपड़ा,Yash Chopra
14,राज कपूर,Raj Kapoor
15,सूरज बड़जात्या,Sooraj Barjatya
16,स्टुडेंट ऑफ़ द ईयर,Student of the Year
17,हिन्दी,Hindi
18,इंटरनेट मूवी डेटाबेस,IMDb
19,प्रियंका चोपड़ा,Priyanka Chopra
20,बिपाशा बसु,Bipasha Basu
21,बॉलीवुड,Bollywood
22,भारत,India
23,महाराष्ट्र,Maharashtra
24,लेखक,Writer
