,hindi,english
0,भक्ति,Bhakti
1,महाराष्ट्र,Maharashtra
2,संत,Hindu saints
3,हिन्दू धर्म,Hinduism
4,काव्य,Poetry
5,दलित,Dalit
6,देशपांडे,Deshpande
7,धर्म,Dharma
8,पंढरपुर,Pandharpur
9,पूजा,Puja (Hinduism)
10,भक्ति,Bhakti
11,महिला,Woman
12,मृत्यु,Death
13,शिव,Shiva
14,सामाजिक,Social
15,अकबर,Akbar
16,अष्टप्रधान,Ashta Pradhan
17,आगरा,Agra
18,उत्तर भारत,North India
19,औरंगज़ेब,Aurangzeb
20,औरंगजेब,Aurangzeb
21,कर्नाटक,Karnataka
22,कल्याण,Kalyan (disambiguation)
23,काशीबाई,Kashibai
24,कोंकण,Konkan
25,कोंडना,Sinhagad
26,छत्रपति,Chhatrapati
27,जीजाबाई,Jijabai
28,जुन्नर नगर,Junnar
29,डच,Dutch
30,तानाजी मालुसरे,Tanaji Malusare
31,ताराबाई,Tarabai
32,तुंगभद्रा नदी,Tungabhadra River
33,तोरण,Torana
34,दक्षिण,South
35,दक्षिण भारत,South India
36,दशहरा,Vijayadashami
37,दुर्ग,Durg
38,दूत,Envoy (title)
39,धारवाड़,Dharwad
40,नादिर शाह,Nader Shah
41,पुणे,Pune
42,पुरी,Puri
43,पेशवा,Peshwa
44,प्रतापगढ़,"Pratapgarh district, Uttar Pradesh"
45,बंगाल,Bengal
46,बीजापुर,Bijapur
47,भारत,India
48,भारतीय,Indian
49,मंत्री,Minister (government)
50,मथुरा,Mathura
51,मराठा,Maratha (caste)
52,मराठा साम्राज्य,Maratha Empire
53,मस्जिद,Mosque
54,मुगल साम्राज्य,Mughal Empire
55,मुसलमान,Muslims
56,मैसूर,Mysore
57,यादव,Yadav
58,युद्ध,War
59,राजगढ़,"Rajgarh, Madhya Pradesh"
60,राजनीति,Politics
61,राजाराम,Rajaram
62,राज्य,State (polity)
63,राज्याभिषेक,Rājyābhiṣeka
64,शाहजी,Shahaji
65,शिक्षा,Education
66,शिवनेरी,Shivneri
67,शिवनेरी दुर्ग,Shivneri
68,शिवसूत्र,Shiva Sutras of Vasugupta
69,शिवाजी द्वितीय,Shivaji II
70,शुक्राचार्य,Shukra
71,सचिव,Secretary
72,समर-विद्या,Military tactics
73,सम्भाजी,Sambhaji
74,सातारा,Satara (city)
75,साम्राज्य,Empire
76,सिंहगढ़,Sinhagad
77,सुल्तान,Sultan
78,सूरत,Surat
79,सेनापति,Senapati
80,स्वराज,Swaraj
81,हज,Hajj
82,हिन्दू,Hindus
83,हिन्दू धर्म,Hinduism
84,१६७४,1674
85,३ अप्रैल,April 3
86,आगरा,Agra
87,इलाहाबाद,Allahabad
88,औरंगाबाद,Aurangabad (disambiguation)
89,कर्नाटक,Karnataka
90,जाट,Jat people
91,दिल्ली,Delhi
92,दोआब,Doab
93,नाना फडणवीस,Nana Fadnavis
94,पुणे,Pune
95,पेशवा,Peshwa
96,मराठा साम्राज्य,Maratha Empire
97,मल्हारराव होलकर,Malhar Rao Holkar
98,महादजी शिंदे,Mahadaji Shinde
99,मालवा,Malwa
100,मैसूर,Mysore
101,रघुनाथराव,Raghunathrao
102,हैदर अली,Hyder Ali
