,hindi,english
0,अर्जुन पुरस्कार,Arjuna Award
1,उत्तर प्रदेश,Uttar Pradesh
2,कर्नाटक,Karnataka
3,टेबल टेनिस,Table tennis
4,तमिलनाडु,Tamil Nadu
5,भारतीय,Indian
6,लखनऊ,Lucknow
7,कर्नाटक,Karnataka
8,मणिपुर,Manipur
9,अर्जुन पुरस्कार,Arjuna Award
10,अभिनंदन वर्तमान,Abhinandan Varthaman
11,एयर चीफ़ मार्शल,Air chief marshal
12,परमवीर चक्र,Param Vir Chakra
13,पाकिस्तान,Pakistan
14,पाकिस्तान वायुसेना,Pakistan Air Force
15,भारत,India
16,भारतीय वायुसेना,Indian Air Force
17,महावीर चक्र,Maha Vir Chakra
18,रामस्वामी वेंकटरमण,Ramaswamy Venkataraman
19,सरगोधा,Sargodha
20,सोवियत संघ,Soviet Union
