,hindi,english
0,अहमद शाह अब्दाली,Ahmad Shah Durrani
1,आगरा,Agra
2,कवि,Poet
3,ग़ज़ल,Ghazal
4,नादिर शाह,Nader Shah
5,फ़ारसी भाषा,Persian language
6,लखनऊ,Lucknow
7,आगरा,Agra
8,उर्दू भाषा,Urdu
9,कोलकाता,Kolkata
10,"गालिब संग्रहालय, नई दिल्ली","Ghalib Museum, New Delhi"
11,दिल्ली,Delhi
12,फ़ारसी भाषा,Persian language
13,बहादुर शाह ज़फ़र,Bahadur Shah Zafar
14,भारत,India
15,मिर्ज़ा ग़ालिब (1988 फ़िल्म),Mirza Ghalib (TV series)
16,१५ फरवरी,February 15
17,१७९६,1796
18,१८६९,1869
19,भारतीय,Indian
20,लखनऊ,Lucknow
21,अलीगढ़,Aligarh
22,इटावा,Etawah
23,उत्तर प्रदेश,Uttar Pradesh
24,"उत्तर प्रदेश हिन्दी संस्थान, लखनऊ",Uttar Pradesh Hindi Sansthan
25,एटा,Etah
26,कवि सम्मेलन,Kavi sammelan
27,कानपुर,Kanpur
28,गाँव,Village
29,गीत,Song
30,दिल्ली,Delhi
31,पद्म भूषण,Padma Bhushan
32,पद्म श्री,Padma Shri
33,प्रेम पुजारी,Prem Pujari
34,फ़िल्म,Film
35,भारत,India
36,भारत सरकार,Government of India
37,मेरठ,Meerut
38,मेरा नाम जोकर,Mera Naam Joker
39,शर्मीली,Sharmeelee
40,शिक्षा,Education
41,संयुक्त प्रान्त आगरा व अवध,United Provinces of Agra and Oudh
42,साहित्य,Literature
43,हिन्दी,Hindi
