,hindi,english
0,नारायण राणे,Narayan Rane
1,ब्राह्मण,Brahmin
2,भारत,India
3,भारतीय जनता पार्टी,Bharatiya Janata Party
4,महापौर,Mayor
5,महाराष्ट्र,Maharashtra
6,महाराष्ट्र नवनिर्माण सेना,Maharashtra Navnirman Sena
7,राज ठाकरे,Raj Thackeray
8,राष्ट्रीय जनतांत्रिक गठबंधन,National Democratic Alliance
9,लोक सभा,Lok Sabha
10,लोकसभा,Lok Sabha
11,शिवसेना,Shiv Sena
12,उद्धव ठाकरे,Uddhav Thackeray
13,पशुपालन,Animal husbandry
14,भारत,India
15,भारतीय,Indian
16,भारतीय जनता पार्टी,Bharatiya Janata Party
17,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
18,महाराष्ट्र,Maharashtra
19,विलासराव देशमुख,Vilasrao Deshmukh
20,शिवसेना,Shiv Sena
21,सांसद,Member of parliament
22,सोनिया गांधी,Sonia Gandhi
23,नागपुर,Nagpur
24,नागपुर विश्वविद्यालय,Rashtrasant Tukadoji Maharaj Nagpur University
25,भारत,India
26,भारत सरकार,Government of India
27,भारतीय,Indian
28,भारतीय जनता पार्टी,Bharatiya Janata Party
29,महाराष्ट्र,Maharashtra
