,hindi,english
0,उर्दू,Urdu
1,नीम का पेड़,Neem Ka Ped
2,महाकाव्य,Mahakavya
3,१ सितंबर,September 1
4,१५ मार्च,March 15
5,१९२५,1925
6,१९६५,1965
7,१९६८,1968
8,१९९२,1992
9,आगरा,Agra
10,आगरा विश्वविद्यालय,Dr. Bhimrao Ambedkar University
11,आलोचक,Criticism
12,इलाहाबाद,Allahabad
13,उत्तर प्रदेश,Uttar Pradesh
14,दिल्ली,Delhi
15,नई दिल्ली,New Delhi
16,बीकानेर,Bikaner
17,भारत,India
18,भारतीय ज्ञानपीठ,Bharatiya Jnanpith
19,मन्नू भंडारी,Manu Bhandari
20,मुंशी प्रेमचन्द,Premchand
21,राजकमल प्रकाशन,Rajkamal Prakashan
22,लेखक,Writer
23,हंस पत्रिका,Hans (magazine)
24,"हिन्दी अकादमी, दिल्ली",Hindi Academy
25,हिन्दी साहित्य,Hindi literature
26,अध्ययन,Study
27,आचार्य रामचंद्र शुक्ल,Ramchandra Shukla
28,आलोचना,Criticism
29,इलाहाबाद,Allahabad
30,उपन्यास,Novel
31,करुणा,Karuṇā
32,काशी हिंदू विश्वविद्यालय,Banaras Hindu University
33,क्रोध,Anger
34,जायसी,Malik Muhammad Jayasi
35,तुलसी,Ocimum tenuiflorum
36,नागरी प्रचारिणी सभा,Nagari Pracharini Sabha
37,निबन्ध,Essay
38,बंगला,Bengali language
39,भक्ति,Bhakti
40,मित्रता,Friendship
41,रामचंद्र शुक्ल,Ramchandra Shukla
42,लज्जा,Shyness
43,सूर,Surdas
44,हिंदी साहित्य,Hindi literature
45,हिन्दी,Hindi
46,१८८४,1884
47,१९४१,1941
48,२ फरवरी,February 2
49,४ अक्टूबर,October 4
50,1930,1930
51,अंग्रेजी,English language
52,आँगन के पार द्वार,Angan Ke Par Dwar
53,इलाहाबाद,Allahabad
54,उत्तर प्रदेश,Uttar Pradesh
55,ऑल इंडिया रेडियो,All India Radio
56,कवि,Poet
57,कश्मीर,Kashmir
58,कसया,Kushinagar
59,जापान,Japan
60,जोधपुर विश्वविद्यालय,Jai Narain Vyas University
61,ज्ञानपीठ पुरस्कार,Jnanpith Award
62,तार सप्तक,Tar Saptak
63,तारसप्तक,Tar Saptak
64,दिल्ली,Delhi
65,नवभारत टाइम्स,Navbharat Times
66,फारसी,Persian language
67,बांग्ला,Bengali language
68,बिहार,Bihar
69,भारतेंदु,Bharatendu Harishchandra
70,मद्रास,Chennai
71,लखनऊ,Lucknow
72,शेखर एक जीवनी,Shekhar: Ek Jivani
73,संस्कृत,Sanskrit
74,साहित्य अकादमी,Sahitya Akademi
75,हाइकु,Haiku
76,हिंदी साहित्य,Hindi literature
