,hindi,english
0,अंग्रेजी,English language
1,आर॰ डी॰ बर्मन,R. D. Burman
2,आशा भोंसले,Asha Bhosle
3,खय्याम,Mohammed Zahur Khayyam
4,गजल,Ghazal
5,गीता दत्त,Geeta Dutt
6,गुजराती,Gujarati language
7,तनुजा,Tanuja
8,तमिल,Tamils
9,दिलीप कुमार,Dilip Kumar
10,दीनानाथ मंगेशकर,Deenanath Mangeshkar
11,नौशाद,Naushad
12,पंजाबी,Punjabi
13,पद्मविभूषण,Padma Vibhushan
14,पाकिस्तान,Pakistan
15,पॉप संगीत,Pop music
16,बंगाली,Bengali language
17,बिमल राय,Bimal Roy
18,बॉलीवुड,Bollywood
19,भोजपुरी,Bhojpuri language
20,मराठी,Marathi language
21,मलयालम,Malayalam
22,महाराष्ट्र,Maharashtra
23,मोहम्मद रफी,Mohammed Rafi
24,राज कपूर,Raj Kapoor
25,रूसी,Russian language
26,लता मंगेशकर,Lata Mangeshkar
27,विवाह,Marriage
28,शमशाद बेगम,Shamshad Begum
29,शम्मी कपूर,Shammi Kapoor
30,शास्त्रीय संगीत,Indian classical music
31,सचिन देव बर्मन,S. D. Burman
32,सांगली,Sangli
33,सुनिधि चौहान,Sunidhi Chauhan
34,हिन्दी,Hindi
35,हेलन,Helen (actress)
36,कला,Art
37,पद्म भूषण,Padma Bhushan
38,भारत,India
39,भारत सरकार,Government of India
40,महाराष्ट्र,Maharashtra
41,१९६४,1964
