,hindi,english
0,आमिर ख़ान,Aamir Khan
1,ज़ायरा वसीम,Zaira Wasim
2,फ़ातिमा सना शेख,Fatima Sana Shaikh
3,भारत,India
4,भारतीय,Indian
5,महावीर सिंह फोगाट,Mahavir Singh Phogat
6,हिन्दी,Hindi
7,आगरा,Agra
8,आज,Aj (newspaper)
9,उत्तर प्रदेश,Uttar Pradesh
10,भारत,India
11,मेरठ,Meerut
12,सन,Flax
13,हरियाणा,Haryana
14,हिन्दी,Hindi
15,अन्ना हजारे,Anna Hazare
16,अरविंद केजरीवाल,Arvind Kejriwal
17,आजतक,Aaj Tak
18,आम आदमी पार्टी,Aam Aadmi Party
19,कुमार विश्वास,Kumar Vishwas
20,ज़ी टीवी,Zee TV
21,नवीन जिंदल,Naveen Jindal
22,सोनू निगम,Sonu Nigam
23,उपन्यास,Novel
24,लेखक,Writer
25,सत्यजित राय,Satyajit Ray
