,hindi,english
0,चांसलर,Chancellor
1,भारत का प्रधानमंत्री,Prime Minister of India
2,राजदूत,Ambassador
3,राष्ट्रपति,President (government title)
4,विदेश मंत्री,Foreign minister
5,सरकार,Government
6,आपातकाल (भारत),The Emergency (India)
7,कांटी थर्मल पावर स्टेशन,Kanti Thermal Power Station
8,कारगिल युद्ध,Kargil War
9,चौदहवीं लोकसभा,14th Lok Sabha
10,जनता दल,Janata Dal
11,पोखरण,Pokhran
12,बिहार,Bihar
13,भारत,India
14,भारतीय,Indian
15,"भारतीय रेल हड़ताल, १९७४",1974 railway strike in India
16,मुजफ्फरपुर,Muzaffarpur
17,मुम्बई,Mumbai
18,राममनोहर लोहिया,Ram Manohar Lohia
19,राष्ट्रीय जनतांत्रिक गठबंधन,National Democratic Alliance
20,सांसद,Member of parliament
21,कर्नाटक,Karnataka
22,बीदर,Bidar
23,भारत,India
24,कर्नाटक,Karnataka
25,बीजापुर,Bijapur
26,भारत,India
27,भारतीय जनता पार्टी,Bharatiya Janata Party
28,लोकसभा,Lok Sabha
