,hindi,english
0,अमृतसर,Amritsar
1,असफ अली,Asaf Ali
2,असहयोग आन्दोलन,Non-cooperation movement
3,कैम्ब्रिज विश्वविद्यालय,University of Cambridge
4,जर्मनी,Germany
5,जवाहर लाल नेहरू,Jawaharlal Nehru
6,नमक सत्याग्रह,Salt March
7,पंजाब,Punjab
8,भारत,India
9,भारत का विभाजन,Partition of India
10,भारतीय राष्ट्रवाद,Indian nationalism
11,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
12,भारतीय स्वतंत्रता आंदोलन,Indian independence movement
13,मुख्तार अहमद अंसारी,Mukhtar Ahmed Ansari
14,मौलाना आजाद,Abul Kalam Azad
15,यूरोप,Europe
16,लन्दन,London
17,वकील,Advocate
18,चीन,China (region)
19,पद्म भूषण,Padma Bhushan
20,भारत,India
21,भारत सरकार,Government of India
22,१९८४,1984
23,पटियाला,Patiala
24,मनमोहन सिंह,Manmohan Singh
25,सांसद,Member of parliament
26,अकाली,Akal (Sikh term)
27,कपूरथला,Kapurthala
28,केन्द्रीय अन्वेषण ब्यूरो,Central Bureau of Investigation
29,राजनीतिक दल,Political party
30,शिरोमणि अकाली दल,Shiromani Akali Dal
31,शिरोमणि गुरुद्वारा प्रबंधक कमेटी,Shiromani Gurdwara Parbandhak Committee
32,सम्मान हत्या,Honor killing
33,हरियाणा,Haryana
34,हिमाचल प्रदेश,Himachal Pradesh
