,hindi,english
0,करीमनगर,Karimnagar
1,केटी राम राव,K. T. Rama Rao
2,तेलंगाना,Telangana
3,तेलंगाना के मुख्यमंत्रियों की सूची,List of chief ministers of Telangana
4,तेलंगाना राष्ट्र समिति,Telangana Rashtra Samithi
5,"तेलंगाना विधानसभा चुनाव, 2018",2018 Telangana Legislative Assembly election
6,तेलुगु देशम पार्टी,Telugu Desam Party
7,महबूबनगर,Mahbubnagar
8,मेदक,Medak
9,हैदराबाद,Hyderabad
10,अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
11,भारत,India
12,भारतीय,Indian
13,राजीव गांधी,Rajiv Gandhi
14,पुणे,Pune
15,महबूबनगर,Mahbubnagar
16,मुंबई विश्वविद्यालय,University of Mumbai
17,हैदराबाद,Hyderabad
18,आन्ध्र प्रदेश के मुख्यमंत्री,List of chief ministers of Andhra Pradesh
19,उत्तर प्रदेश के राज्यपाल,List of governors of Uttar Pradesh
