,hindi,english
0,तेलंगाना,Telangana
1,भारत,India
2,भारतीय जनता पार्टी,Bharatiya Janata Party
3,पंद्रहवीं लोकसभा,15th Lok Sabha
4,भारत,India
5,भारत सरकार,Government of India
6,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
7,नलगौंडा लोक सभा निर्वाचन क्षेत्र,Nalgonda (Lok Sabha constituency)
8,भारतीय कम्युनिस्ट पार्टी,Communist Party of India
9,हैदराबाद,Hyderabad
10,अंग्रेजी,English language
11,इंग्लैंड,England
12,उत्तर प्रदेश,Uttar Pradesh
13,उत्तरप्रदेश,Uttar Pradesh
14,एनी बेसेन्ट,Annie Besant
15,कानपुर,Kanpur
16,कैम्ब्रिज,Cambridge
17,गाँधीजी,Mahatma Gandhi
18,गुजराती,Gujarati language
19,जवाहर लाल नेहरू,Jawaharlal Nehru
20,डाकटिकट,Postage stamp
21,निज़ाम,Nizam of Hyderabad
22,बंगला,Bengali language
23,बांग्ला,Bengali language
24,भारत,India
25,राज्यपाल,Governor
26,लंदन,London
27,सत्याग्रह,Satyagraha
28,हिंदी,Hindi
29,हैदराबाद,Hyderabad
30,१३ फरवरी,February 13
31,१८७९,1879
32,१८९५,1895
33,१८९८,1898
34,१९१४,1914
35,१९२५,1925
36,१९३२,1932
37,१९४९,1949
38,१९६४,1964
39,२ मार्च,March 2
