,hindi,english
0,अखिल भारतीय आयुर्विज्ञान संस्थान,All India Institutes of Medical Sciences
1,अटल बिहारी बाजपेयी,Atal Bihari Vajpayee
2,अटल बिहारी वाजपेयी हिन्दी विश्वविद्यालय,Atal Bihari Vajpayee Hindi Vishwavidyalaya
3,आगरा,Agra
4,उत्तर प्रदेश,Uttar Pradesh
5,कानपुर,Kanpur
6,कारगिल युद्ध,Kargil War
7,गोण्डा,"Gonda, Uttar Pradesh"
8,ग्वालियर,Gwalior
9,ग्वालियर रियासत,Gwalior State
10,चेन्नई,Chennai
11,जगजीत सिंह,Jagjit Singh
12,जनता पार्टी,Janata Party
13,जवाहरलाल नेहरू,Jawaharlal Nehru
14,दिल्ली,Delhi
15,दीनदयाल उपाध्याय,Deendayal Upadhyaya
16,नई दिल्ली,New Delhi
17,पद्म विभूषण,Padma Vibhushan
18,पाञ्चजन्य,Pancha-janah
19,पोखरण,Pokhran
20,बांग्लादेश,Bangladesh
21,भारत,India
22,भारत रत्न,Bharat Ratna
23,भारतीय जनता पार्टी,Bharatiya Janata Party
24,भारतीय जनसंघ,Bharatiya Jana Sangh
25,भारतीय परमाणु परीक्षण,List of nuclear weapons tests of India
26,मध्य प्रदेश,Madhya Pradesh
27,मध्य प्रदेश भोज मुक्त विश्वविद्यालय,Madhya Pradesh Bhoj Open University
28,मुम्बई,Mumbai
29,मोरारजी देसाई,Morarji Desai
30,राजनीति,Politics
31,राष्ट्रीय जनतांत्रिक गठबंधन,National Democratic Alliance
32,राष्ट्रीय स्वयंसेवक संघ,Rashtriya Swayamsevak Sangh
33,लखनऊ,Lucknow
34,लाहौर,Lahore
35,लोक सभा,Lok Sabha
36,वर्तमान,Present
37,शृंगार रस,Sringara
38,संन्यास,Sannyasa
39,सम्पादन,Editing
40,सम्प्रति,Samprati
41,स्वर्णिम चतुर्भुज,Golden Quadrilateral
42,हिन्दी,Hindi
43,१९६८,1968
44,१९७३,1973
45,१९७७,1977
46,१९७९,1979
47,१९८०,1980
48,१९९५,1995
49,१९९६,1996
50,१९९८,1998
51,२०००,2000
52,२००४,2004
53,ब्रिटिश राज,British Raj
54,भारतीय जनता पार्टी,Bharatiya Janata Party
55,भारतीय संसद,Parliament of India
56,माधवराव सिंधिया,Madhavrao Scindia
57,सिंधिया,Scindia
58,Indian National Congress,Indian National Congress
