,hindi,english
0,नौसेना,Navy
1,परम विशिष्ट सेवा पदक,Param Vishisht Seva Medal
2,प्रादेशिक सेना,Territorial Army (India)
3,भारत,India
4,युद्ध सेवा पदक,Yudh Seva Medal
5,विशिष्ट सेवा पदक,Vishisht Seva Medal
6,सेना,Military
7,अति विशिष्ट सेवा पदक,Ati Vishisht Seva Medal
8,भारत,India
9,भारत सरकार,Government of India
10,युद्ध सेवा पदक,Yudh Seva Medal
11,विशिष्ट सेवा पदक,Vishisht Seva Medal
12,भारत,India
13,भारत सरकार,Government of India
14,भारतीय वायु सेना,Indian Air Force
15,विशिष्ट सेवा पदक,Vishisht Seva Medal
16,भारत,India
17,भारत की सम्मान प्रणाली,"Orders, decorations, and medals of India"
18,युद्ध सेवा पदक,Yudh Seva Medal
