,hindi,english
0,अजमेर,Ajmer
1,अण्डमान,Andaman Islands
2,आजीवन कारावास,Life imprisonment
3,इंग्लैण्ड,England
4,दिल्ली,Delhi
5,पंजाब विश्वविद्यालय,Panjab University
6,पाकिस्तान,Pakistan
7,पेशावर,Peshawar
8,भगत सिंह,Bhagat Singh
9,भाई मतिदास,Bhai Mati Das
10,मदनमोहन मालवीय,Madan Mohan Malaviya
11,राम प्रसाद 'बिस्मिल',Ram Prasad Bismil
12,लाला लाजपत राय,Lala Lajpat Rai
13,लाला हरदयाल,Har Dayal
14,लाहौर,Lahore
15,विनायक दामोदर सावरकर,Vinayak Damodar Savarkar
16,विष्णु गणेश पिंगले,Vishnu Ganesh Pingle
17,वैदिक धर्म,Historical Vedic religion
18,श्यामजी कृष्ण वर्मा,Shyamji Krishna Varma
19,श्रीमद्भगवद्गीता,Bhagavad Gita
20,सरदार अजीत सिंह,Sardar Ajit Singh
21,सुखदेव,Sukhdev Thapar
22,हिन्दू,Hindus
23,अफ्रीका,Africa
24,अमेरिका,United States
25,उत्तराखण्ड,Uttarakhand
26,उधम सिंह नगर,Udham Singh Nagar district
27,चमार,Chamar
28,जलियाँवाला बाग,Jallianwala Bagh
29,जालियाँवाला बाग नरसंहार,Jallianwala Bagh massacre
30,जालियाँवाला बाग हत्याकांड,Jallianwala Bagh massacre
31,नैरोबी,Nairobi
32,ब्राजील,Brazil
33,भारत,India
34,माइकल ओ' ड्वायर,Michael O'Dwyer
35,लन्दन,London
36,संगरूर,Sangrur
37,सिख,Sikhs
38,सुनाम,Sunam
39,अमृतसर,Amritsar
40,उधम सिंह,Udham Singh
41,नई दिल्ली,New Delhi
42,बंगाल,Bengal
43,भगत सिंह,Bhagat Singh
44,भारत,India
45,मदनलाल ढींगरा,Madan Lal Dhingra
46,लाला हरदयाल,Har Dayal
47,लाहौर,Lahore
48,लुधियाना,Ludhiana
49,विनायक दामोदर सावरकर,Vinayak Damodar Savarkar
50,श्यामजी कृष्ण वर्मा,Shyamji Krishna Varma
51,१९९७,1997
52,२००६,2006
53,पंजाबी,Punjabi
54,पिता,Father
55,भगत सिंह,Bhagat Singh
56,भारत,India
57,माता,Mother
58,राजगुरु,Shivaram Rajguru
59,लाला लाजपत राय,Lala Lajpat Rai
60,लाहौर,Lahore
61,लुधियाना,Ludhiana
62,१५ मई,May 15
63,१९०७,1907
64,१९३१,1931
65,२३ मार्च,March 23
