,hindi,english
0,पत्रकार,Journalist
1,हिन्दी,Hindi
2,इंटरनेट मूवी डेटाबेस,IMDb
3,बिग बॉस,Bigg Boss (Hindi TV series)
4,अभिनेता,Actor
5,आमिर ख़ान,Aamir Khan
6,आमिर ख़ान (मुक्केबाज़),Amir Khan (boxer)
7,आमिर खान प्रोडक्सन्स,Aamir Khan Productions
8,उस्ताद अमीर खान,Amir Khan (singer)
9,क़यामत से क़यामत तक,Qayamat Se Qayamat Tak
10,नस्तालीक़,Nastaliq
11,नासिर हुसैन,Nasir Hussain
12,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार,Filmfare Award for Best Actor
13,भारत,India
14,यादों की बारात,Yaadon Ki Baaraat
15,राजा हिन्दुस्तानी,Raja Hindustani
16,अदिति सिंह शर्मा,Aditi Singh Sharma
17,इंटरनेट मूवी डेटाबेस,IMDb
18,एम॰ एस॰ धोनी: द अनटॉल्ड स्टोरी,M.S. Dhoni: The Untold Story
19,कियारा आडवाणी,Kiara Advani
20,जैकी चैन,Jackie Chan
21,टाइगर श्रॉफ,Tiger Shroff
22,टी-सीरीज़,T-Series (company)
23,नीरज पांडे,Neeraj Pandey
24,पुरी जगन्नाध,Puri Jagannadh
25,फॉक्स स्टार स्टूडियोज़,Fox Star Studios
26,बाग़ी २,Baaghi 2
27,भारतीय क्रिकेट टीम,India national cricket team
28,भूषण कुमार,Bhushan Kumar
29,महेंद्र सिंह धोनी,MS Dhoni
30,मीत ब्रदर्स,Meet Bros
31,वरुण तेज,Varun Tej
32,साजिद नाडियाडवाला,Sajid Nadiadwala
33,सुशांत सिंह राजपूत,Sushant Singh Rajput
34,सोनू सूद,Sonu Sood
35,हिन्दी,Hindi
