,hindi,english
0,जयपुर,Jaipur
1,पार्श्वगायक,Playback singer
2,भारत,India
3,भारतीय,Indian
4,सिरसा,Sirsa
5,हरियाणा,Haryana
6,पाकिस्तान,Pakistan
7,अकाली दल,Shiromani Akali Dal
8,अग्रोहा,Agroha
9,अपभ्रंश,Apabhraṃśa
10,अम्बाला,Ambala
11,अरावली पर्वत,Aravalli Range
12,अरावली पर्वतमाला,Aravalli Range
13,अर्थव्यवस्था के आकार के आधार पर भारत के राज्य,List of Indian states and union territories by GDP
14,इंदिरा गांधी नहर,Indira Gandhi Canal
15,उच्च न्यायालय,High Court
16,उत्तर प्रदेश,Uttar Pradesh
17,उत्तर भारत,North India
18,एन्साइक्लोपीडिया ब्रिटेनिका,Encyclopædia Britannica
19,कन्नौज,Kannauj
20,करनाल,Karnal
21,कर्ण झील,Karna Lake
22,कालका,Kalka
23,कुरुक्षेत्र,Kurukshetra
24,केन्द्र शासित प्रदेश,Union territory
25,कैथल,Kaithal
26,गरम चश्मा,Hot spring
27,गुड़गाँव,Gurgaon district
28,गुरु द्रोणाचार्य,Drona
29,गुरुग्राम,Gurgaon
30,गोवा,Goa
31,चण्डीगढ़,Chandigarh
32,जींद,Jind
33,तरावड़ी,Taraori
34,तिल्यार झील,Tilyar Lake
35,थानेसर,Thanesar
36,दिल्ली,Delhi
37,नहर,Canal
38,पंचकुला,Panchkula
39,पंजाब,Punjab
40,पंजाब और हरियाणा उच्च न्यायालय,Punjab and Haryana High Court
41,पलवल,Palwal
42,पलवल ज़िला,Palwal district
43,पानीपत,Panipat
44,पूर्वी पंजाब,East Punjab
45,पृथ्वीराज चौहान,Prithviraj Chauhan
46,पेहोवा,Pehowa
47,प्रति व्यक्ति आय,Per capita income
48,फरीदाबाद,Faridabad
49,बड़खल झील,Badkhal Lake
50,बहादुरगढ़,Bahadurgarh
51,बांगर,Khadir and Bangar
52,भारत,India
53,भारत के राज्य,States and union territories of India
54,भिवानी,Bhiwani
55,महाभारत,Mahabharata
56,महाराजा अग्रसेन्,Agrasen
57,मुक्त निर्देशिका परियोजना,DMOZ
58,मुर्रा भैंस,Murrah buffalo
59,मुहम्मद गौरी,Muhammad of Ghor
60,यमुना नदी,Yamuna
61,यमुनानगर,Yamunanagar
62,राजधानी,Capital city
63,राजस्थान,Rajasthan
64,राजा राव तुला राम,Rao Tula Ram
65,राजीव गांधी,Rajiv Gandhi
66,राष्ट्रीय राजधानी क्षेत्र,National Capital Region (India)
67,राष्ट्रीय राजधानी क्षेत्र दिल्ली,Delhi
68,रेवाड़ी,Rewari
69,रोहतक,Rohtak
70,लाला लाजपत राय,Lala Lajpat Rai
71,वर्ग किलोमीटर,Square kilometre
72,वैदिक सभ्यता,Vedic period
73,सतलज यमुना लिंक नहर,Sutlej Yamuna link canal
74,सरस्वती नदी,Sarasvati River
75,सिंधु घाटी सभ्यता,Indus Valley Civilisation
76,सिरसा,Sirsa
77,सूरजकुण्ड,Surajkund
78,सोनीपत,Sonipat
79,स्थलरुद्ध,Landlocked country
80,हरियाणा,Haryana
81,हरियाणा का इतिहास,History of Haryana
82,हर्षवर्धन,Harsha
83,हाँसी,Hansi
84,हिन्दी,Hindi
85,हिमाचल प्रदेश,Himachal Pradesh
86,हिसार,Hisar (city)
87,१ नवंबर,November 1
88,१९६६,1966
89,१९८१,1981
90,२००१,2001
91,२०११,2011
