,hindi,english
0,ईसाई,Christians
1,कवि,Poet
2,भारत,India
3,अलीपुर जेल,Alipore Jail
4,इंग्लैण्ड,England
5,इन्द्र सेन,Indra Sen
6,उपनिषद्,Upanishads
7,एम पी पण्डित,M. P. Pandit
8,कैखुसरो दादाभाई सेठना,K. D. Sethna
9,गुरु,Guru
10,चम्पकलाल,Champaklal
11,चितरंजन दास,Chittaranjan Das
12,तन्त्र,Tantra
13,दर्शन,Philosophy
14,दार्शनिक,Philosopher
15,दीक्षा,Diksha
16,धर्म,Dharma
17,नलिनि कान्त गुप्त,Nolini Kanta Gupta
18,निरोदबरन,Nirodbaran
19,पवित्र,Pavitra
20,प्रणब,Pranab
21,बंगाल,Bengal
22,बन्दे मातरम् (पत्रिका),Bande Mataram (publication)
23,मन्त्र,Mantra
24,मृत्यु,Death
25,यन्त्र,Machine
26,योग,Yoga
27,योगी,Yogi
28,वेद,Vedas
29,श्री अरविन्द,Sri Aurobindo
30,श्री अरविन्द आश्रम,Sri Aurobindo Ashram
31,सतप्रेम,Satprem
32,सावित्री,Savitri
33,स्वदेशी आन्दोलन,Swadeshi movement
34,हिन्दू धर्म,Hinduism
35,उपन्यास,Novel
36,कोलकाता,Kolkata
37,न्यूयॉर्क,New York (state)
38,बराक ओबामा,Barack Obama
39,भारत,India
40,लंदन,London
41,संयुक्त राज्य अमेरिका,United States
42,उपन्यास,Novel
43,ज्ञानपीठ पुरस्कार,Jnanpith Award
44,द शैडो लाइन्स,The Shadow Lines
45,भारत,India
46,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
