,hindi,english
0,चण्डीगढ़,Chandigarh
1,दूरदर्शन,Television
2,पंजाब इंजिनियरिंग कॉलेज,Punjab Engineering College
3,व्यंग-चित्रकार,Cartoonist
4,हास्य अभिनेता,Comedian
5,२०१२,2012
6,२५ अक्टूबर,October 25
7,अंगद देव,Guru Angad
8,अमर दास,Guru Amar Das
9,अरब,"1,000,000,000"
10,अरबी,Arab (disambiguation)
11,अर्जुन देव,Guru Arjan
12,करतारपुर,"Kartarpur, India"
13,कार्तिक,Kartik (month)
14,गुरदासपुर,Gurdaspur
15,गुरु अंगद देव,Guru Angad
16,गुरु अमर दास,Guru Amar Das
17,गुरु अर्जुन देव,Guru Arjan
18,गुरु ग्रन्थ साहिब,Guru Granth Sahib
19,गुरु तेग बहादुर,Guru Tegh Bahadur
20,गुरु नानक देव,Guru Nanak
21,गुरु राम दास,Guru Ram Das
22,गुरु हर किशन,Guru Har Krishan
23,गुरु हर राय,Guru Har Rai
24,गुरु हरगोबिन्द,Guru Hargobind
25,गुरुद्वारा,Gurdwara
26,गोबिंद सिंह,Guru Gobind Singh
27,तलवंडी,Talwandi
28,धर्मशाला,Dharamshala (type of building)
29,ननकाना साहिब,Nankana Sahib
30,नानक देव,Guru Nanak
31,पंजाबी,Punjabi
32,पाकिस्तान,Pakistan
33,पूर्णिमा,Purnima
34,भारत,India
35,मूर्तिपूजा,Idolatry
36,राम दास,Guru Ram Das
37,रावी नदी,Ravi River
38,सिंधी,Sindhi
39,सिख धर्म,Sikhism
40,हर राय,Guru Har Rai
41,अंगद देव,Guru Angad
42,अमर दास,Guru Amar Das
43,अमृत,Amrita
44,अमृतसर,Amritsar
45,गुरमत,Gurmata
46,गुरु,Guru
47,गुरु नानक,Guru Nanak
48,गुरू अमर दास,Guru Amar Das
49,नानक देव,Guru Nanak
50,पंजाबी,Punjabi
51,लंगर,Langar (Sikhism)
52,सतगुरु,Satguru
53,सिख,Sikhs
54,सिख धर्म,Sikhism
55,१५०४,1504
56,१५३९,1539
57,१५५२,1552
58,३१ मार्च,March 31
59,७ सितम्बर,September 7
