,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,उत्तर पूर्वी दिल्ली लोक सभा निर्वाचन क्षेत्र,North East Delhi (Lok Sabha constituency)
2,गोरखपुर लोक सभा निर्वाचन क्षेत्र,Gorakhpur (Lok Sabha Constituency)
3,बनारस हिन्दू विश्वविद्यालय,Banaras Hindu University
4,बाबा रामदेव,Ramdev
5,बिग बॉस,Bigg Boss (Hindi TV series)
6,बिहार,Bihar
7,भारत,India
8,भारतीय जनता पार्टी,Bharatiya Janata Party
9,भोजपुरी,Bhojpuri language
10,योगी आदित्यनाथ,Yogi Adityanath
11,राजनेता,Politician
12,श्वेता तिवारी,Shweta Tiwari
13,समाजवादी पार्टी,Samajwadi Party
14,अटल बिहारी वाजपेयी,Atal Bihari Vajpayee
15,उत्तर प्रदेश,Uttar Pradesh
16,केशव प्रसाद मौर्य,Keshav Prasad Maurya
17,योगी आदित्यनाथ,Yogi Adityanath
18,लखनऊ,Lucknow
19,लखनऊ विश्वविद्यालय,University of Lucknow
20,वाणिज्य,Commerce
21,अभिनेता,Actor
22,अलीगढ़,Aligarh
23,हिन्दी,Hindi
