,hindi,english
0,अखिल भारतीय विद्यार्थी परिषद,Akhil Bharatiya Vidyarthi Parishad
1,इलाहाबाद,Allahabad
2,इलाहाबाद विश्वविद्यालय,University of Allahabad
3,किरोड़ी मल कॉलेज,Kirori Mal College
4,केदारनाथ साहनी,Kidar Nath Sahani
5,जनसंघ,Bharatiya Jana Sangh
6,दिल्ली,Delhi
7,दिल्ली के मुख्यमंत्री,List of chief ministers of Delhi
8,दिल्ली विश्वविद्यालय,University of Delhi
9,नई दिल्ली,New Delhi
10,फैसलाबाद,Faisalabad
11,भाजपा,Bharatiya Janata Party
12,भारत,India
13,भारतीय जनता पार्टी,Bharatiya Janata Party
14,राजस्थान के राज्यपाल,List of governors of Rajasthan
15,राष्ट्रीय स्वयंसेवक संघ,Rashtriya Swayamsevak Sangh
16,लालकृष्ण आडवाणी,L. K. Advani
17,विजय कुमार मल्होत्रा,Vijay Kumar Malhotra
18,संघ परिवार,Sangh Parivar
19,कांग्रेस,Congress
20,गुरुद्वारा,Gurdwara
21,भारत,India
22,रावलपिंडी,Rawalpindi
23,शिरोमणि गुरुद्वारा प्रबंधक कमेटी,Shiromani Gurdwara Parbandhak Committee
24,सिख,Sikhs
25,हिन्दू धर्म,Hinduism
26,प्रताप सिंह कैरों,Partap Singh Kairon
27,प्रांत,Province
28,भारत,India
29,मंत्री,Minister (government)
30,मोरारजी देसाई,Morarji Desai
31,शिरोमणि अकाली दल,Shiromani Akali Dal
32,सिख,Sikhs
33,सुखबीर सिंह बादल,Sukhbir Singh Badal
34,अमृतसर,Amritsar
35,उद्योग,Industry
36,कृषि,Agriculture
37,चीन,China (region)
38,दिल्ली,Delhi
39,पक्षपात,Bias
40,भारत,India
41,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
42,मास्टर तारा सिंह,Tara Singh (activist)
43,मिशिगन विश्वविद्यालय,Michigan State University
44,विधान सभा,State Legislative Assembly (India)
45,हरियाणा,Haryana
46,हिमाचल प्रदेश,Himachal Pradesh
