,hindi,english
0,अभिनय,Acting
1,अर्जुन,Arjuna
2,इंडोनेशिया,Indonesia
3,तेरी मेरी लव स्टोरी,Teri Meri Love Stories
4,दिल्ली,Delhi
5,दूरदर्शन,Television
6,द्रौपदी,Draupadi
7,नई दिल्ली,New Delhi
8,पवित्र रिश्ता,Pavitra Rishta
9,फेमिना मिस इंडिया,Femina Miss India
10,बिग मैजिक,Big Magic
11,भारत,India
12,भारतीय,Indian
13,महाभारत,Mahabharata
14,महाभारत (२०१३ धारावाहिक),Mahabharat (2013 TV series)
15,रूस,Russia
16,स्टार प्लस,StarPlus
17,२०१४,2014
18,अर्शी खान,Arshi Khan
19,इंटरनेट मूवी डेटाबेस,IMDb
20,नई दिल्ली,New Delhi
21,नीतू चन्द्रा,Neetu Chandra
22,नुसरत भरुचा,Nushrat Bharucha
23,बिहार,Bihar
24,सारा खान,Sara Khan (TV actress)
25,सोनाक्षी सिन्हा,Sonakshi Sinha
26,अनुभव सिन्हा,Anubhav Sinha
27,इंटरनेट मूवी डेटाबेस,IMDb
28,टी-सीरीज़,T-Series (company)
29,तुम बिन,Tum Bin
30,प्रियांशु चटर्जी,Priyanshu Chatterjee
31,राकेश वशिष्ठ,Raqesh Bapat
32,सोनू निगम,Sonu Nigam
33,अरविन्द गौड़,Arvind Gaur
34,हिन्दी,Hindi
