,hindi,english
0,अग्निसाक्षी,Agnisakshi (novel)
1,उपन्यास,Novel
2,भारत,India
3,साहित्य,Literature
4,कन्याकुमारी,Kanyakumari
5,केरल,Kerala
6,गया,"Gaya, India"
7,गुरु,Guru
8,गौतम बुद्ध,Gautama Buddha
9,दर्शन,Philosophy
10,देवता,Deva (Hinduism)
11,धर्म,Dharma
12,पूजा,Puja (Hinduism)
13,भारत,India
14,मन्त्र,Mantra
15,मूर्ति,Murti
16,मूर्तिपूजा,Idolatry
17,रविदास,Ravidas
18,राजा राममोहन राय,Ram Mohan Roy
19,वेद,Vedas
20,वेदान्त,Vedanta
21,शिवगिरि,"Sivagiri, Kerala"
22,सूत्र,Sutra
23,स्तोत्र,Stotra
24,वक्कोम मजीद,Vakkom Majeed
25,केरल,Kerala
26,नारायण गुरु,Narayana Guru
27,पूर्णिमा,Purnima
28,शिवगिरि,"Sivagiri, Kerala"
29,शृंगेरी शारदा पीठम,Sringeri Sharada Peetham
