,hindi,english
0,असम,Assam
1,असमिया भाषा,Assamese language
2,हेमकोष,Hemkosh
3,असम,Assam
4,असमिया साहित्य,Assamese literature
5,कवि,Poet
6,कोलकाता,Kolkata
7,असम साहित्य सभा,Assam Sahitya Sabha
8,असमिया,Assamese language
9,असमिया साहित्य,Assamese literature
10,उपन्यास,Novel
11,कवि,Poet
12,ज्ञानपीठ पुरस्कार,Jnanpith Award
13,पत्रकार,Journalist
14,समाजवाद,Socialism
15,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
16,१ अप्रैल,April 1
17,१९२४,1924
18,१९५०,1950
19,१९९७,1997
20,६ अगस्त,August 6
21,असम साहित्य सभा,Assam Sahitya Sabha
22,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
