,hindi,english
0,अनुपम खेर,Anupam Kher
1,अन्ना हजारे,Anna Hazare
2,अमरीश पुरी,Amrish Puri
3,आम आदमी पार्टी,Aam Aadmi Party
4,गुल पनाग,Gul Panag
5,चण्डीगढ़,Chandigarh
6,पत्नी,Wife
7,भारत,India
8,भारतीय जनता पार्टी,Bharatiya Janata Party
9,मुम्बई,Mumbai
10,रंग दे बसंती,Rang De Basanti
11,राजनीति,Politics
12,संजय लीला भंसाली,Sanjay Leela Bhansali
13,संसद,Parliament of India
14,सरदारी बेगम,Sardari Begum
15,सांसद,Member of parliament
16,अभिनेता,Actor
17,पंजाबी,Punjabi
18,हिन्दी,Hindi
19,अंग्रेजी,English language
20,अभिनेता,Actor
21,दूरदर्शन,Television
22,धारावाहिक,Soap opera
23,नसीरुद्दीन शाह,Naseeruddin Shah
24,फ़िल्म,Film
25,भारत,India
26,भारतीय,Indian
27,भारतीय फिल्म और टेलिविज़न संस्थान,Film and Television Institute of India
28,भीष्म,Bhishma
29,महाराष्ट्र,Maharashtra
30,मुम्बई,Mumbai
31,शक्ति कपूर,Shakti Kapoor
32,शक्तिमान,Shaktimaan
