,hindi,english
0,पद्म भूषण,Padma Bhushan
1,भारत,India
2,भारत सरकार,Government of India
3,राजस्थान,Rajasthan
4,१९७६,1976
5,पद्म भूषण,Padma Bhushan
6,भारत,India
7,भारत सरकार,Government of India
8,राजस्थान,Rajasthan
9,समाज सेवा,Social work
10,१९७३,1973
11,गोवा मुक्ति संग्राम,Annexation of Goa
12,पद्म भूषण,Padma Bhushan
13,बांग्लादेश मुक्ति युद्ध,Bangladesh Liberation War
14,भारत,India
15,भारत सरकार,Government of India
16,१९७२,1972
17,पद्म भूषण,Padma Bhushan
18,भारत,India
19,भारत सरकार,Government of India
20,राजस्थान,Rajasthan
21,१९७१,1971
