,hindi,english
0,अराकन अभियान,Arakan Campaign 1942–43
1,अर्जुन,Arjuna
2,कुमाऊं रेजिमेंट,Kumaon Regiment
3,कृष्ण,Krishna
4,के एस थिमैया,Kodandera Subayya Thimayya
5,चेतन आनंद,Chetan Anand (badminton)
6,"जहाज़रानी मंत्रालय, भारत सरकार",Ministry of Shipping (India)
7,देहरादून,Dehradun
8,द्वितीय विश्वयुद्ध,World War II
9,नैनीताल,Nainital
10,परमवीर चक्र,Param Vir Chakra
11,बड़ग़ाम की लड़ाई,Battle of Badgam
12,ब्रिटिश भारतीय सेना,British Indian Army
13,भारत,India
14,भारत सरकार,Government of India
15,भारतीय नौवहन निगम,Shipping Corporation of India
16,मेन्शंड इन डिस्पैचैस,Mentioned in dispatches
17,श्रीनगर विमानक्षेत्र,Sheikh ul-Alam International Airport
18,हिमाचल प्रदेश,Himachal Pradesh
19,१९४७,1947
20,परमवीर चक्र,Param Vir Chakra
21,भारत,India
22,भारत-चीन युद्ध,Sino-Indian War
23,भारत सरकार,Government of India
24,शिमला,Shimla
25,हिमाचल प्रदेश,Himachal Pradesh
26,ऐब्टाबाद,Abbottabad
27,गिलगित,Gilgit
28,जम्मू और कश्मीर,Jammu and Kashmir (state)
29,तहसील,Tehsil
30,धर्मशाला,Dharamshala (type of building)
31,पाकिस्तान,Pakistan
32,ब्रिटिश भारतीय सेना,British Indian Army
33,भारत,India
34,महाराजा,Maharaja
35,महावीर चक्र,Maha Vir Chakra
36,लद्दाख,Ladakh
37,लेह,Leh
38,अशोक चक्र (प्रतीक),Ashoka Chakra
39,कीर्ति चक्र,Kirti Chakra
40,परमवीर चक्र,Param Vir Chakra
41,भारत,India
42,वीर चक्र,Vir Chakra
43,शौर्य चक्र,Shaurya Chakra
