,hindi,english
0,अंतरिक्ष अनुप्रयोग केंद्र,Space Applications Centre
1,आजमगढ़,Azamgarh
2,इलाहाबाद विश्वविद्यालय,University of Allahabad
3,उत्तर प्रदेश,Uttar Pradesh
4,भारत,India
5,भारतीय अंतरिक्ष अनुसंधान संगठन,Indian Space Research Organisation
6,भारतीय प्रौद्योगिकी संस्थान खड़गपुर,Indian Institute of Technology Kharagpur
7,भारतीय प्रौद्योगिकी संस्थान भुवनेश्वर,Indian Institute of Technology Bhubaneswar
8,भारतीय विज्ञान,History of science and technology in the Indian subcontinent
9,मुरली मनोहर जोशी,Murli Manohar Joshi
10,मौसमविज्ञान,Meteorology
11,राष्ट्रीय अंटार्कटिक एवं समुद्री अनुसंधान केंद्र,National Centre for Polar and Ocean Research
12,सुदूर संवेदन,Remote sensing
13,भारत,India
14,नैनीताल,Nainital
15,नोबेल शांति पुरस्कार,Nobel Peace Prize
16,भारत,India
17,अनुसूचित जनजाति,Indigenous peoples
18,अनुसूचित जाति,Dalit
19,अमित शाह,Amit Shah
20,उड़ीसा,Odisha
21,उत्तर प्रदेश,Uttar Pradesh
22,कानपुर,Kanpur
23,कानपुर देहात जिला,Kanpur Dehat district
24,गुजरात,Gujarat
25,जे एस खेहर,Jagdish Singh Khehar
26,"डेरापुर, कानपुर देहात",Derapur
27,दिल्ली उच्च न्यायालय,Delhi High Court
28,बिहार,Bihar
29,बिहार के राज्यपाल,List of governors of Bihar
30,भारत,India
31,भारत के राष्ट्रपति,President of India
32,भारतीय,Indian
33,भारतीय जनता पार्टी,Bharatiya Janata Party
34,मीरा कुमार,Meira Kumar
35,यूपीए,United Progressive Alliance
36,राज्य सभा,Rajya Sabha
37,राज्यपाल,Governor
38,राष्ट्रपति,President (government title)
39,राष्ट्रीय जनतांत्रिक गठबंधन,National Democratic Alliance
40,संघ लोक सेवा आयोग,Union Public Service Commission
41,१ अक्टूबर,October 1
