,hindi,english
0,कन्नड़ भाषा,Kannada
1,कन्नड़ साहित्य,Kannada literature
2,कर्नाटक,Karnataka
3,कवि,Poet
4,पद्म भूषण,Padma Bhushan
5,महाकाव्य,Mahakavya
6,मैसूर,Mysore
7,लेखक,Writer
8,श्रीरामायण दर्शनम्,Sri Ramayana Darshanam
9,१९५८,1958
10,अंग्रेजी साहित्य,English literature
11,कर्नाटक,Karnataka
12,कोलार जिला,Kolar district
13,ज्ञानपीठ पुरस्कार,Jnanpith Award
14,तमिल,Tamils
15,बंगलौर,Bangalore
16,बसवन्ना बागेवाड़ी,Basavana Bagewadi
17,भारत,India
18,भारतीय सिविल सेवा,Civil Services of India
19,मद्रास विश्वविद्यालय,University of Madras
20,मैसूर,Mysore
21,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
22,कन्नड़ भाषा,Kannada
23,कहानी,Narrative
