,hindi,english
0,भारत,India
1,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
2,भारतीय कम्युनिस्ट पार्टी,Communist Party of India
3,पंद्रहवीं लोकसभा,15th Lok Sabha
4,भारत,India
5,भारतीय,Indian
6,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
7,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
8,सांसद,Member of parliament
9,बाला साहेब ठाकरे,Bal Thackeray
10,भारत,India
11,महाराष्ट्र,Maharashtra
12,महाराष्ट्र के मुख्यमंत्री,List of chief ministers of Maharashtra
13,राजनीतिज्ञ,Politics
14,शिवसेना,Shiv Sena
