,hindi,english
0,इंटरनेट मूवी डेटाबेस,IMDb
1,इंस्टाग्राम,Instagram
2,उत्तर प्रदेश,Uttar Pradesh
3,ट्विटर,Twitter
4,तमिल,Tamils
5,फेसबुक,Facebook
6,भारत,India
7,रायबरेली,Raebareli
8,रेडियो मिर्ची,Radio Mirchi
9,हिन्दी,Hindi
10,हिन्दी सिनेमा,Bollywood
11,1981,1981
12,1982,1982
13,1984,1984
14,अनिल कपूर,Anil Kapoor
15,अमरीश पुरी,Amrish Puri
16,अलीगढ़ मुस्लिम विश्वविद्यालय,Aligarh Muslim University
17,इजाज़त,Ijaazat
18,ओम पुरी,Om Puri
19,कमल हासन,Kamal Haasan
20,ज़मीर उद्दीन शाह,Zameer Uddin Shah
21,जैकी श्रॉफ,Jackie Shroff
22,त्रिदेव,Tridev
23,दिलीप कुमार,Dilip Kumar
24,फ़िल्मफ़ेयर सर्वश्रेष्ठ अभिनेता पुरस्कार,Filmfare Award for Best Actor
25,बाराबंकी,"Barabanki, Uttar Pradesh"
26,रवि वासवानी,Ravi Baswani
27,शबाना आजमी,Shabana Azmi
28,संजीव कुमार,Sanjeev Kumar
29,स्मिता पाटिल,Smita Patil
30,अभिनेता,Actor
31,इंटरनेट मूवी डेटाबेस,IMDb
32,उत्तर प्रदेश,Uttar Pradesh
33,बिग बॉस,Bigg Boss (Hindi TV series)
34,बॉलीवुड हंगामा,Bollywood Hungama
35,भोजपुरी सिनेमा,Bhojpuri cinema
36,हिन्दी सिनेमा,Bollywood
37,अभिनेता,Actor
38,जॉली एलएलबी,Jolly LLB
39,हिन्दी,Hindi
