,hindi,english
0,इंदिरा गांधी,Indira Gandhi
1,जगजीवन राम,Jagjivan Ram
2,पंडित नेहरू,Jawaharlal Nehru
3,भारत,India
4,भारत सरकार,Government of India
5,पद्म श्री,Padma Shri
6,पश्चिम बंगाल,West Bengal
7,बैडमिंटन,Badminton
8,भारत,India
9,उत्तराखण्ड,Uttarakhand
10,तिब्बत,Tibet
11,तिब्बती भाषा,Standard Tibetan
12,नेपाल,Nepal
13,मानचित्र,Map
14,मानसरोवर,Lake Manasarovar
15,लेह,Leh
16,ल्हासा,Lhasa (prefecture-level city)
17,हिन्दी,Hindi
18,हिमालय,Himalayas
19,इंडियन प्रीमियर लीग,Indian Premier League
20,दिल्ली,Delhi
