,hindi,english
0,ऑक्सफोर्ड,Oxford
1,छोटा नागपुर,Chota Nagpur Plateau
2,छोटानागपुर,Chota Nagpur Plateau
3,झारखंड,Jharkhand
4,नीदरलैंड,Netherlands
5,बिहार,Bihar
6,भारत,India
7,भारतीय सिविल सेवा,Civil Services of India
8,मुंडा जनजाति,Munda people
9,संविधान सभा,Constituent Assembly of India
10,हॉकी,Hockey
11,भारत,India
12,ऑल झारखण्ड स्टूडेंट्स यूनियन,All Jharkhand Students Union
13,झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
14,झारखण्ड,Jharkhand
15,आदिवासी,Indigenous peoples
16,जामताड़ा,Jamtara
17,झारखंड मुक्ति मोर्चा,Jharkhand Mukti Morcha
18,दुमका,Dumka
19,बिहार,Bihar
20,भारत,India
21,मनमोहन सिंह,Manmohan Singh
22,लोक सभा,Lok Sabha
23,सांसद,Member of parliament
24,११ जनवरी,January 11
25,१९४४,1944
26,२००४,2004
