,hindi,english
0,नीतिशास्त्र,Ethics
1,पद्म भूषण,Padma Bhushan
2,भारत,India
3,भारत सरकार,Government of India
4,१९९०,1990
5,भारत,India
6,राधानाथ सिकदर,Radhanath Sikdar
7,अल्बर्ट आइंस्टीन,Albert Einstein
8,कोलकाता,Kolkata
9,गणितज्ञ,Mathematician
10,जर्मनी,Germany
11,ढाका विश्वविद्यालय,University of Dhaka
12,बोस-आइंस्टाइन संघनन,Bose–Einstein condensate
13,बोस-आइन्स्टाइन सांख्यिकी,Bose–Einstein statistics
14,बोस संस्थान,Bose Institute
15,बोसॉन,Boson
16,भारत,India
17,भारतीय,Indian
18,भारतीय गणित,Indian mathematics
19,भौतिक शास्त्र,Physics
20,मैक्स प्लांक,Max Planck
21,सत्येन्द्र नाथ बोस,Satyendra Nath Bose
22,गणित,Mathematics
23,पद्म भूषण,Padma Bhushan
24,पद्म श्री,Padma Shri
25,भारत,India
26,भारतीय,Indian
27,भारतीय प्रौद्योगिकी संस्थान खड़गपुर,Indian Institute of Technology Kharagpur
28,भौतिक विज्ञान,Physics
29,रॉयल सोसायटी,Royal Society
30,शांति स्वरूप भटनागर विज्ञान एवं प्रौद्योगिकी पुरस्कार,Shanti Swarup Bhatnagar Prize for Science and Technology
31,स्ट्रिंग सिद्धांत,String theory
32,हरीशचंद्र अनुसंधान संस्थान,Harish-Chandra Research Institute
