,hindi,english
0,कोलकाता,Kolkata
1,गूगल,Google
2,गूगल डूडल,Google Doodle
3,दूरदर्शन,Television
4,न्यू जर्सी,New Jersey
5,न्यूयॉर्क,New York (state)
6,पश्चिम बंगाल,West Bengal
7,पुणे,Pune
8,महाराष्ट्र सरकार,Government of Maharashtra
9,लखनऊ,Lucknow
10,विक्टोरिया,Queen Victoria
11,शुक्र,Venus
12,1914,1914
13,1979,1979
14,1980,1980
15,1983,1983
16,1985,1985
17,1986,1986
18,1990,1990
19,1999,1999
20,2004,2004
21,2008,2008
22,26 दिसंबर,December 26
23,9 फरवरी,February 9
24,कुष्ठ,Leprosy
25,गाँधी शांति पुरस्कार,Gandhi Peace Prize
26,चन्द्रपुर,Chandrapur
27,नर्मदा बचाओ आंदोलन,Narmada Bachao Andolan
28,नागपुर,Nagpur
29,नागपुर विश्वविद्यालय,Rashtrasant Tukadoji Maharaj Nagpur University
30,पद्मभूषण,Padma Bhushan
31,पद्मश्री,Padma Shri
32,भारत,India
33,महात्मा गांधी,Mahatma Gandhi
34,महाराष्ट्र,Maharashtra
35,राजगुरु,Shivaram Rajguru
36,विनोबा भावे,Vinoba Bhave
37,समाजसेवी,Social worker
38,टेम्पल्टन पुरस्कार,Templeton Prize
39,दार्शनिक,Philosopher
40,प्रवचन,Pravachan
41,भारत,India
42,भारत सरकार,Government of India
43,श्रीमद्भगवद्गीता,Bhagavad Gita
44,स्वाध्याय परिवार,Swadhyaya Movement
45,महाराष्ट्र,Maharashtra
