,hindi,english
0,भारत,India
1,भारत के मुख्यमंत्रियों की सूची,List of current Indian chief ministers
2,मध्य प्रदेश,Madhya Pradesh
3,मध्य प्रदेश के मुख्यमंत्री,List of chief ministers of Madhya Pradesh
4,कवर्धा,Kawardha
5,छत्तीसगढ़,Chhattisgarh
6,भारत,India
7,भारतीय जनता पार्टी,Bharatiya Janata Party
8,१५ अक्टूबर,October 15
9,भारत सरकार,Government of India
10,भारतीय,Indian
11,भारतीय जनता पार्टी,Bharatiya Janata Party
12,सांसद,Member of parliament
13,अण्डमान और निकोबार द्वीपसमूह,Andaman and Nicobar Islands
14,चण्डीगढ़,Chandigarh
15,छत्तीसगढ़,Chhattisgarh
16,मध्य प्रदेश,Madhya Pradesh
17,राज्यपाल,Governor
18,रायपुर,Raipur
19,हिमाचल प्रदेश,Himachal Pradesh
