,hindi,english
0,उपन्यास,Novel
1,कन्नड़ भाषा,Kannada
2,चिदंबर रहस्य,Chidambara Rahasya
3,कन्नड़ भाषा,Kannada
4,अंग्रेजी साहित्य,English literature
5,इंग्लिश टीचर,The English Teacher
6,उपन्यास,Novel
7,कहानी,Narrative
8,चेन्नई,Chennai
9,द डार्क रूम,The Dark Room (Narayan novel)
10,द पेंटर ऑफ़ साइन्ज़,The Painter of Signs
11,द वेंडर ऑफ़ स्वीट्स,The Vendor of Sweets
12,महात्मा का इंतजार,Waiting for the Mahatma
13,मालगुडी,Malgudi
14,मालगुडी का आदमखोर,The Man-Eater of Malgudi
15,मुल्कराज आनंद,Mulk Raj Anand
16,यथार्थवाद,Realism
17,राजा राव,Raja Rao
18,साहित्य अकादमी पुरस्कार,Sahitya Akademi Award
19,स्वामी और उसके दोस्त,Swami and Friends
20,पद्म भूषण,Padma Bhushan
21,भारत,India
22,भारत सरकार,Government of India
23,संयुक्त राज्य अमेरिका,United States
24,१९६९,1969
