,hindi,english
0,उत्तर प्रदेश,Uttar Pradesh
1,कैथल,Kaithal
2,चण्डीगढ़,Chandigarh
3,जींद,Jind
4,तरावड़ी,Taraori
5,पठान,Pashtuns
6,पानीपत,Panipat
7,भारत,India
8,यमुना नदी,Yamuna
9,हरियाणा,Haryana
10,अरविन्द केजरीवाल,Arvind Kejriwal
11,आईआईटी कानपुर,Indian Institute of Technology Kanpur
12,आईआईटी खड़गपुर,Indian Institute of Technology Kharagpur
13,आम आदमी पार्टी,Aam Aadmi Party
14,कांग्रेस,Congress
15,गोरे लाल मनीषी,Gorelal Manishi
16,जन लोकपाल विधेयक,Jan Lokpal Bill
17,जन लोकपाल विधेयक आंदोलन २०११,2011 Indian anti-corruption movement
18,ट्विटर,Twitter
19,डीएलएफ,DLF (company)
20,दिल्ली,Delhi
21,दिल्ली के मुख्यमंत्री,List of chief ministers of Delhi
22,दिल्ली विधानसभा,Delhi Legislative Assembly
23,दैनिक जागरण,Dainik Jagran
24,नई दिल्ली,New Delhi
25,नवभारत टाइम्स,Navbharat Times
26,भारत,India
27,भारतीय,Indian
28,भारतीय जनता पार्टी,Bharatiya Janata Party
29,भारतीय राजस्व सेवा (आईआरएस),Indian Revenue Service
30,भारतीय संविधान,Constitution of India
31,मुकेश अंबानी,Mukesh Ambani
32,मुरली देवड़ा,Murli Deora
33,यांत्रिक अभियांत्रिकी,Mechanical engineering
34,रमन मैग्सेसे पुरस्कार,Ramon Magsaysay Award
35,रिलायंस,Reliance Group
36,रॉबर्ट वाड्रा,Robert Vadra
37,लोकपाल आंदोलन,2011 Indian anti-corruption movement
38,शीला दीक्षित,Sheila Dikshit
39,सलमान खुर्शीद,Salman Khurshid
40,सूचना अधिकार अधिनियम,"Right to Information Act, 2005"
41,सोनिया गाँधी,Sonia Gandhi
42,हरियाणा,Haryana
43,हिसार,Hisar (city)
44,राहुल गांधी,Rahul Gandhi
45,लोक सभा,Lok Sabha
46,हरियाणा,Haryana
47,उत्तर प्रदेश,Uttar Pradesh
48,"उत्तर प्रदेश विधानसभा चुनाव, 2017",2017 Uttar Pradesh Legislative Assembly election
49,भारत,India
50,भारतीय जनता पार्टी,Bharatiya Janata Party
51,समाजवादी पार्टी,Samajwadi Party
