,hindi,english
0,1947,1947
1,1966,1966
2,केन्द्र-शासित प्रदेश,Union territory
3,चंडीगढ़,Chandigarh
4,नालागढ़,Nalagarh
5,पंजाब,Punjab
6,पंजाब क्षेत्र,Punjab
7,पाकिस्तान,Pakistan
8,पाकिस्तान अधिराज्य,Dominion of Pakistan
9,भारत,India
10,भारत का विभाजन,Partition of India
11,"भारत सरकार अधिनियम, १९३५",Government of India Act 1935
12,राज्य पुनर्गठन अधिनियम १९५६,"States Reorganisation Act, 1956"
13,हरियाणा,Haryana
14,हिमाचल प्रदेश,Himachal Pradesh
15,सांग,Saang
16,असमिया,Assamese language
17,इंटरनेट मूवी डेटाबेस,IMDb
18,उड़िया,Odia language
19,गायक,Singer
20,तमिल,Tamils
21,पंजाबी,Punjabi
22,फरीदाबाद,Faridabad
23,बंगाली,Bengali language
24,भारत,India
25,मराठी,Marathi language
26,मोहम्मद रफ़ी,Mohammed Rafi
27,हरियाणा,Haryana
28,हिन्दी,Hindi
29,अनमोल घड़ी,Anmol Ghadi
30,अमीरबाई कर्नाटकी,Amirbai Karnataki
31,अम्बाला,Ambala
32,आशा भोंसले,Asha Bhosle
33,गायिका,Singer
34,गीता दत्त,Geeta Dutt
35,ठुमरी,Thumri
36,नौशाद,Naushad
37,भारत,India
38,रोशन कुमारी,Roshan Kumari
39,लता मंगेशकर,Lata Mangeshkar
40,शमशाद बेगम,Shamshad Begum
41,सत्यजीत रे,Satyajit Ray
42,हरियाणा,Haryana
43,हिन्दी सिनेमा,Bollywood
44,हिन्दुस्तानी संगीत,Hindustani classical music
