,hindi,english
0,भारत,India
1,भारतीय सिनेमा,Cinema of India
2,नागपुर,Nagpur
3,बांग्लादेश,Bangladesh
4,भारत,India
5,महाराष्ट्र,Maharashtra
6,संयुक्त राज्य अमेरिका,United States
7,सुरेश वाडकर,Suresh Wadkar
8,स्टार प्लस,StarPlus
9,आर. डी. बर्मन,R. D. Burman
10,इंटरनेट मूवी डेटाबेस,IMDb
11,ऋषि कपूर,Rishi Kapoor
12,कल्याणजी आनंदजी,Kalyanji–Anandji
13,केरल,Kerala
14,कोल्हापुर,Kolhapur
15,गुलजार,Gulzar
16,जयदेव,Jayadeva
17,पार्श्वगायक,Playback singer
18,बप्पी लाहिड़ी,Bappi Lahiri
19,भारत,India
20,मध्य प्रदेश सरकार,Government of Madhya Pradesh
21,मराठी,Marathi language
22,महाराष्ट्र,Maharashtra
23,महाराष्ट्र सरकार,Government of Maharashtra
24,रवींद्र जैन,Ravindra Jain
25,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
26,लक्ष्मीकांत प्यारेलाल,Laxmikant–Pyarelal
27,लता मंगेशकर,Lata Mangeshkar
28,लता मंगेशकर पुरस्कार,Lata Mangeshkar Award
29,विशाल भारद्वाज,Vishal Bhardwaj
30,शिव-हरि,Shiv-Hari
31,सुरेश वाडेकर,Suresh Wadkar
32,हिन्दी,Hindi
33,इंटरनेट मूवी डेटाबेस,IMDb
34,इशकजादे,Ishaqzaade
35,फ़िल्मफ़ेयर पुरस्कार,Filmfare Awards
36,ये जवानी है दीवानी,Yeh Jawaani Hai Deewani
37,रेस 2,Race 2
