,hindi,english
0,आज तक,Aaj Tak
1,जामिया मिलिया इस्लामिया,Jamia Millia Islamia
2,टाइगर जिंदा है,Tiger Zinda Hai
3,तवलीन सिंह,Tavleen Singh
4,दूरदर्शन,Television
5,निस्तुला हेब्बार,Nistula Hebbar
6,पत्रकार,Journalist
7,पत्रकारिता,Journalism
8,भारत,India
9,रवीश कुमार,Ravish Kumar
10,श्वेता सिंह,Sweta Singh
11,सुल्तान (2016 फ़िल्म),Sultan (2016 film)
12,गुमला जिला,Gumla district
13,झारखंड,Jharkhand
14,झारखण्ड,Jharkhand
15,परमवीर चक्र,Param Vir Chakra
16,बिहार,Bihar
17,भारत,India
18,भारत सरकार,Government of India
19,लांस नायक,Lance naik
20,धनबाद,Dhanbad
21,बिहार,Bihar
22,बैंक ऑफ़ इंडिया,Bank of India
23,भारत,India
24,भारत सरकार,Government of India
25,भारतीय पुलिस सेवा,Indian Police Service
26,लोक सभा,Lok Sabha
27,सुपौल,Supaul
