,hindi,english
0,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
1,राजस्थान,Rajasthan
2,शिवचरण माथुर,Shiv Charan Mathur
3,पद्म भूषण,Padma Bhushan
4,राजस्थान,Rajasthan
5,१९५६,1956
6,इंडियन एक्सप्रेस,The Indian Express
7,द टाइम्स ऑफ़ इंडिया,The Times of India
8,नवभारत टाइम्स,Navbharat Times
9,पद्म श्री,Padma Shri
10,बीकानेर,Bikaner
11,भारत,India
12,मनमोहन सिंह,Manmohan Singh
13,मुम्बई,Mumbai
14,राजस्थान,Rajasthan
15,हिन्दुस्तान टाइम्स,Hindustan Times
16,एशिया,Asia
17,नोबेल पुरस्कार,Nobel Prize
18,न्यूयॉर्क,New York (state)
19,पत्रकारिता,Journalism
20,फ़िलीपीन्स,Philippines
21,साहित्य,Literature
