,hindi,english
0,पश्चिम बंगाल,West Bengal
1,भारत,India
2,भारतीय,Indian
3,सर्वभारतीय तृणमूल कांग्रेस,All India Trinamool Congress
4,आयरलैंड,Ireland
5,उस्मान साम्राज्य,Ottoman Empire
6,एचआईवी,HIV
7,एड्स,HIV/AIDS
8,कुष्ठ,Leprosy
9,कोलकाता,Kolkata
10,क्रिस्टोफ़र हिचन्स,Christopher Hitchens
11,गर्भपात,Abortion
12,तपेदिक,Tuberculosis
13,तानाशाह,Dictator
14,नोबेल शांति पुरस्कार,Nobel Peace Prize
15,पद्म श्री,Padma Shri
16,पोप फ्रांसिस,Pope Francis
17,भारत,India
18,भारत रत्न,Bharat Ratna
19,मदर टेरेसा की आलोचना,Criticism of Mother Teresa
20,मेसीडोनिया,North Macedonia
21,मेसेडोनिया गणराज्य,North Macedonia
22,रोमन कैथोलिक चर्च,Catholicism
23,एक दिवसीय अंतरराष्ट्रीय,One Day International
24,नुज़हत परवीन,Nuzhat Parween
25,पश्चिम बंगाल,West Bengal
26,भारत,India
27,भारतीय महिला क्रिकेट टीम,India women's national cricket team
28,मिताली राज,Mithali Raj
29,सचिन तेंदुलकर,Sachin Tendulkar
30,हरमनप्रीत कौर,Harmanpreet Kaur
31,एक दिवसीय अंतरराष्ट्रीय,One Day International
32,पश्चिम बंगाल,West Bengal
33,बंगाल,Bengal
34,भारत,India
