,hindi,english
0,अशोक चक्र (प्रतीक),Ashoka Chakra
1,कीर्ति चक्र,Kirti Chakra
2,परमवीर चक्र,Param Vir Chakra
3,भारत,India
4,वीर चक्र,Vir Chakra
5,शौर्य चक्र,Shaurya Chakra
6,ऑस्ट्रेलिया,Australia
7,जनरल,General officer
8,नई दिल्ली,New Delhi
9,पिथौरागढ़,Pithoragarh
10,पुणे,Pune
11,भारत,India
12,एडमिरल,Admiral
13,नौसेना पदक,Nau Sena Medal
14,भारत,India
15,रॉबिन धवन,Robin K. Dhowan
16,अजमेर,Ajmer
17,अर्थशास्त्र,Economics
18,इंटेलिजेंस ब्यूरो,Intelligence Bureau (India)
19,कश्मीर,Kashmir
20,भारत,India
21,भारत के राष्ट्रीय सुरक्षा सलाहकार,National Security Advisor (India)
22,शिवशंकर मेनन,Shivshankar Menon
