,hindi,english
0,अहमदाबाद,Ahmedabad
1,उपदेश,Upadeśa
2,कबीर,Kabir
3,गुजरात,Gujarat
4,गुरु नानक,Guru Nanak
5,जयपुर,Jaipur
6,दादू,"Dadu, Pakistan"
7,पुष्कर,Pushkar
8,राजस्थान,Rajasthan
9,राजस्थानी,Rajasthani
10,हिन्दी,Hindi
11,कालवा,"Kalwa, Rajasthan"
12,कृष्ण,Krishna
13,राजस्थान,Rajasthan
14,आचार्य तुलसी,Acharya Tulsi (Jain Monk)
15,कवि,Poet
16,गुरु,Guru
17,जैन धर्म,Jainism
18,योगी,Yogi
19,राजस्थान,Rajasthan
20,लेखक,Writer
21,वक्ता,Orator
22,श्वेतांबर,Śvētāmbara
23,साध्वी कनकप्रभा,Sadhvi Kanakprabha
24,अकबर,Akbar
25,इतिहास,History
26,उदयपुर,Udaipur
27,कुम्भलगढ़ दुर्ग,Kumbhalgarh
28,गोगुन्दा,Gogunda
29,चावंड,"Chavand, Rajasthan"
30,चेतक,Chetak
31,जेम्स टॉड,James Tod
32,जोधपुर,Jodhpur
33,टोडरमल,Todar Mal
34,भगवानदास,Bhagwant Das
35,भामाशाह,Bhamashah
36,भारत,India
37,भारत का वीर पुत्र – महाराणा प्रताप,Bharat Ka Veer Putra – Maharana Pratap
38,भील,Bhil people
39,मुहता नैणसी,Muhnot Nainsi
40,मेवाड़,Mewar
41,राजपूत,Rajput
42,राजपूत राजवंश,List of Rajput dynasties and states
43,राजवंश,Dynasty
44,राजस्थान,Rajasthan
45,राज्याभिषेक,Rājyābhiṣeka
46,राणा पूंजा,Rana Punja
47,विजय नाहर,Vijay Nahar
48,शरद मल्होत्रा,Sharad Malhotra
49,हकीम खाँ सूरी,Hakim Khan Sur
50,हल्दीघाटी,Haldighati
51,हल्दीघाटी का युद्ध,Battle of Haldighati
