,hindi,english
0,इलाहाबाद विश्वविद्यालय,University of Allahabad
1,पद्म विभूषण,Padma Vibhushan
2,भारतीय,Indian
3,भारतीय प्रशासनिक सेवा,Indian Administrative Service
4,राजस्थान,Rajasthan
5,आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
6,आकाशवाणी,All India Radio
7,उदयपुर,Udaipur
8,दिल्ली,Delhi
9,पद्म विभूषण,Padma Vibhushan
10,भारत,India
11,भारतीय सिनेमा,Cinema of India
12,महाराष्ट्र,Maharashtra
13,मुम्बई,Mumbai
14,लाहौर,Lahore
15,सारंगी,Sarangi
16,हिन्दुस्तानी शास्त्रीय संगीत,Hindustani classical music
17,कैम्ब्रिज,Cambridge
18,जोधपुर,Jodhpur
19,पद्म भूषण,Padma Bhushan
20,भारत,India
21,भारत सरकार,Government of India
22,महाराष्ट्र,Maharashtra
23,राजस्थान,Rajasthan
24,१९८६,1986
25,उदयपुर,Udaipur
26,कलकत्ता विश्वविद्यालय,University of Calcutta
27,न्यूयॉर्क,New York (state)
28,पद्म विभूषण,Padma Vibhushan
29,भारत,India
30,भारत सरकार,Government of India
31,राजस्थान,Rajasthan
32,शिक्षा,Education
33,१९०९,1909
34,२०००,2000
