,hindi,english
0,अंग्रेजी,English language
1,अभिनेता,Actor
2,उर्दू,Urdu
3,जॉनी डेप,Johnny Depp
4,टॉम हैंक्स,Tom Hanks
5,ड्वेन जॉनसन,Dwayne Johnson
6,निकोलस केज,Nicolas Cage
7,पंजाबी,Punjabi
8,भारतीय,Indian
9,मुंबई,Mumbai
10,रॉबर्ट डॉनी जुनियर,Robert Downey Jr.
11,हिंदी,Hindi
12,हॉलीवुड,Hollywood
13,ह्यू जैकमैन,Hugh Jackman
14,उर्दू,Urdu
15,गोरखपुर विश्वविद्यालय,Deen Dayal Upadhyay Gorakhpur University
16,दिल्ली,Delhi
17,भारत,India
18,भारतीय स्वतन्त्रता का प्रथम संग्राम,Indian Rebellion of 1857
19,मुग़ल साम्राज्य,Mughal Empire
20,म्यांमार,Myanmar
21,रंगून,Yangon
22,१८५७ का प्रथम भारतीय स्वतंत्रता संग्राम,Indian Rebellion of 1857
23,अमेठी,Amethi
24,इंडियन एक्सप्रेस,The Indian Express
25,इंदिरा गाँधी,Indira Gandhi
26,उत्तर प्रदेश,Uttar Pradesh
27,कांग्रेस,Congress
28,गांधी-नेहरू परिवार,Nehru–Gandhi family
29,जवाहर लाल नेहरू,Jawaharlal Nehru
30,दिल्ली,Delhi
31,दिल्ली विश्वविद्यालय,University of Delhi
32,नई दिल्ली,New Delhi
33,निर्दलीय,Independent politician
34,फिरोज़ गाँधी,Feroze Gandhi
35,भारत,India
36,भारत के प्रधानमंत्री,Prime Minister of India
37,भारतीय,Indian
38,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
39,भारतीय स्वतंत्रता संग्राम,Indian independence movement
40,मोतीलाल नेहरु,Motilal Nehru
41,राजीव गाँधी,Rajiv Gandhi
42,रायबरेली,Raebareli
43,रॉबर्ट वाड्रा,Robert Vadra
44,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
45,संसद,Parliament of India
46,सोनिया गाँधी,Sonia Gandhi
47,६ फरवरी,February 6
48,अध्यक्ष,Chairperson
49,अभियांत्रिकी,Engineering
50,अमेठी,Amethi
51,इंदिरा गांधी,Indira Gandhi
52,उत्तर प्रदेश,Uttar Pradesh
53,कांग्रेस,Congress
54,केरल,Kerala
55,कैम्ब्रिज विश्वविद्यालय,University of Cambridge
56,गांधी-नेहरू परिवार,Nehru–Gandhi family
57,चंद्रशेखर आजाद कृषि विश्वविद्यालय,Chandra Shekhar Azad University of Agriculture and Technology
58,चीन,China (region)
59,टाइम्स ऑफ इंडिया,The Times of India
60,ट्रिनिटी कॉलेज,Trinity College Dublin
61,दून विद्यालय,The Doon School
62,नेहरू-गांधी परिवार,Nehru–Gandhi family
63,पाकिस्तान,Pakistan
64,पिस्तौल,Pistol
65,पी वी नरसिंह राव,P. V. Narasimha Rao
66,प्रियंका गाँधी,Priyanka Gandhi
67,प्रौद्योगिकी,Technology
68,फ्लोरिडा,Florida
69,बहुजन समाज पार्टी,Bahujan Samaj Party
70,बाबरी मस्जिद,Babri Masjid
71,भारत,India
72,भारतीय जनता पार्टी,Bharatiya Janata Party
73,भारतीय युवा कांग्रेस,Indian Youth Congress
74,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
75,भारतीय संसद,Parliament of India
76,मायावती,Mayawati
77,मुंबई,Mumbai
78,राजीव गांधी,Rajiv Gandhi
79,रायबरेली,Raebareli
80,लोकसभा,Lok Sabha
81,वंशवाद,Hereditary politicians
82,वायनाड,Wayanad district
83,वेंकैया नायडू,Venkaiah Naidu
84,संजय गांधी,Sanjay Gandhi
85,संसद,Parliament of India
86,समाजवादी पार्टी,Samajwadi Party
87,सांसद,Member of parliament
88,सेंट स्टीफेंस कॉलेज,"St. Stephen's College, Delhi"
89,सोनिया गांधी,Sonia Gandhi
90,हार्वर्ड विश्वविद्यालय,Harvard University
