,hindi,english
0,कबड्डी,Kabaddi
1,कुश्ती,Wrestling
2,घुड़सवारी,Equestrianism
3,तमिल,Tamils
4,तिरुचिरापल्ली,Tiruchirappalli
5,तैराकी,Swimming
6,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
7,महाभारत,Mahabharata
8,रामायण,Ramayana
9,लाला लाजपत राय,Lala Lajpat Rai
10,शतरंज,Chess
11,स्वदेशी आन्दोलन,Swadeshi movement
12,स्वामी विवेकानन्द,Swami Vivekananda
13,एट्टयपुरम्,Ettayapuram
14,कवि,Poet
15,जन्मभूमि,Janmabhumi
16,तमिल,Tamils
17,पत्रकार,Journalist
18,ब्राह्मण,Brahmin
19,भगिनी निवेदिता,Sister Nivedita
20,भारत,India
21,विवाह,Marriage
22,ईरोड,Erode
23,चेन्नई,Chennai
24,तिरुपुर,Tiruppur
25,भारत,India
26,भारतीय,Indian
27,भारतीय राष्ट्रवाद,Indian nationalism
28,जगजीवन राम,Jagjivan Ram
29,भारत,India
30,भारत रत्न,Bharat Ratna
31,मोरारजी देसाई,Morarji Desai
32,लालबहादुर शास्त्री,Lal Bahadur Shastri
33,विरुधुनगर,Virudhunagar
