,hindi,english
0,नई दिल्ली,New Delhi
1,हैदराबाद,Hyderabad
2,कर्नाटक संगीत,Carnatic music
3,नोबेल पुरस्कार,Nobel Prize
4,भीमसेन जोशी,Bhimsen Joshi
5,मृदंग,Mridangam
6,राग,Raga
7,वायलिन,Violin
8,वीणा,Veena
9,हरिप्रसाद चौरसिया,Hariprasad Chaurasia
10,अभिनेता,Actor
11,आन्ध्र प्रदेश,Andhra Pradesh
12,इंटरनेट मूवी डेटाबेस,IMDb
13,गायक,Singer
14,तेलुगू सिनेमा,Telugu cinema
15,पार्श्वगायक,Playback singer
16,फ़िल्म निर्माता,Film producer
17,भारतीय,Indian
18,राष्ट्रीय फ़िल्म पुरस्कार,National Film Awards
19,संगीत निर्देशक,Music director
