,hindi,english
0,अंग्रेज़ी भाषा,English language
1,उपन्यास,Novel
2,द मैमरीज़ ऑफ़ द वेलफेयर स्टेट,The Mammaries of the Welfare State
3,आधुनिकतावाद,Modernism
4,एलेन गिन्सबर्ग,Allen Ginsberg
5,कवि,Poet
6,डाडावाद,Dada
7,देबी राय,Debi Roy
8,धर्मवीर भारती,Dharamvir Bharati
9,फालगुनि राय,Falguni Roy
10,बहुसंस्कृतिवाद,Multiculturalism
11,बिहार,Bihar
12,भारत,India
13,भूखी पीढ़ी,Hungry generation
14,महाभारत,Mahabharata
15,रामायण,Ramayana
16,विलियम ब्लेक,William Blake
17,शक्ति चट्टोपाध्याय,Shakti Chattopadhyay
18,समीर रायचौधुरी,Samir Roychoudhury
19,सुबिमल बसाक,Subimal Basak
20,भारत,India
21,भारतीय सिविल सेवा,Civil Services of India
22,मोतिहारी,Motihari
23,उत्तर प्रदेश,Uttar Pradesh
24,कलकत्ता मेडिकल कॉलेज,"Medical College and Hospital, Kolkata"
25,कायस्थ,Kayastha
26,गणित,Mathematics
27,जवाहरलाल नेहरू,Jawaharlal Nehru
28,दामोदर घाटी निगम,Damodar Valley Corporation
29,दार्जिलिंग,Darjeeling
30,दुर्गापुर,Durgapur
31,पटना,Patna
32,पटना विश्वविद्यालय,Patna University
33,पश्चिम बंगाल,West Bengal
34,बिधान चंद्र राय,Bidhan Chandra Roy
35,बिहार,Bihar
36,भारत,India
37,भारत रत्न,Bharat Ratna
38,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
39,मोतीलाल नेहरू,Motilal Nehru
40,१ जुलाई,July 1
41,१८८२,1882
42,१९६१,1961
43,१९६२,1962
