,hindi,english
0,जम्मू और कश्मीर,Jammu and Kashmir (state)
1,भारत,India
2,१९७१ का भारत-पाक युद्ध,Indo-Pakistani War of 1971
3,अति विशिष्ट सेवा पदक,Ati Vishisht Seva Medal
4,उत्तम युद्ध सेवा पदक,Uttam Yudh Seva Medal
5,एडीसी,Aide-de-camp
6,कारगिल युद्ध,Kargil War
7,जे जे सिंह,J. J. Singh
8,दलबीर सिंह सुहाग,Dalbir Singh Suhag
9,परम विशिष्ट सेवा पदक,Param Vishisht Seva Medal
10,भारत,India
11,राष्ट्रीय रक्षा अकादमी,National Defence Academy (India)
12,विशिष्ट सेवा पदक,Vishisht Seva Medal
13,वी के सिंह,V. K. Singh
14,सेना पदक,Sena Medal
15,पंजाब,Punjab
16,पटियाला के महाराजा,Maharaja of Patiala
17,इंटरनेट मूवी डेटाबेस,IMDb
18,चाँद छुपा बादल में,Chand Chupa Badal Mein
19,जम्मू और कश्मीर,Jammu and Kashmir (state)
20,बिग बॉस,Bigg Boss (Hindi TV series)
21,भारत,India
22,भारतीय,Indian
23,मास्टरशेफ इंडिया कुकिंग शो ३,MasterChef India (season 3)
24,"श्रीनगर, जम्मू और कश्मीर",Srinagar
25,स्टार प्लस,StarPlus
