,hindi,english
0,भारत,India
1,राजस्थान,Rajasthan
2,उदयपुर,Udaipur
3,जालौर लोक सभा निर्वाचन क्षेत्र,Jalore (Lok Sabha constituency)
4,टोंक-सवाई माधोपुर लोक सभा निर्वाचन क्षेत्र,Tonk–Sawai Madhopur (Lok Sabha constituency)
5,भारत सरकार,Government of India
6,भारतीय,Indian
7,भारतीय जनता पार्टी,Bharatiya Janata Party
8,भारतीय जनसंघ,Bharatiya Jana Sangh
9,भीलवाड़ा,Bhilwara
10,राजनेता,Politician
11,राजस्थान,Rajasthan
12,राजस्थान विधान सभा,Rajasthan Legislative Assembly
13,राजस्थान सरकार,Government of Rajasthan
14,लोक सभा,Lok Sabha
15,सांसद,Member of parliament
16,टोंक,"Tonk, India"
17,दौसा,Dausa
18,भारतीय,Indian
19,भारतीय जनता पार्टी,Bharatiya Janata Party
20,मीणा,Meena
21,सांसद,Member of parliament
22,कश्मीर,Kashmir
23,कांग्रेस,Congress
24,गुर्जर,Gurjar
25,चौदहवीं लोकसभा,14th Lok Sabha
26,दिल्ली विश्वविद्यालय,University of Delhi
27,दौसा,Dausa
28,पंद्रहवीं लोकसभा,15th Lok Sabha
29,फारूक अब्दुल्ला,Farooq Abdullah
30,भारत,India
31,भारत सरकार,Government of India
32,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
33,राजनीति,Politics
34,राजस्थान,Rajasthan
35,राजस्थान सरकार,Government of Rajasthan
36,राजेश पायलट,Rajesh Pilot
37,सांसद,Member of parliament
38,१३ मई,May 13
39,२००४,2004
