,hindi,english
0,अखिलेश यादव,Akhilesh Yadav
1,उत्तर प्रदेश,Uttar Pradesh
2,चन्द्रशेखर,Chandra Shekhar
3,जयप्रकाश नारायण,Jayaprakash Narayan
4,बलिया,Ballia
5,मुलायम सिंह यादव,Mulayam Singh Yadav
6,समाजवादी पार्टी,Samajwadi Party
7,आई॰ऍस॰बी॰ऍन॰,International Standard Book Number
8,कैलाशनाथ कौल,Kailas Nath Kaul
9,जवाहरलाल नेहरू,Jawaharlal Nehru
10,भारतीय राष्ट्रीय कांग्रेस,Indian National Congress
11,राजनीति,Politics
12,हिमाचल प्रदेश,Himachal Pradesh
13,उत्तर प्रदेश,Uttar Pradesh
14,कांग्रेस,Congress
15,कानपुर,Kanpur
16,चौदहवीं लोकसभा,14th Lok Sabha
17,पंद्रहवीं लोकसभा,15th Lok Sabha
18,भारत सरकार,Government of India
19,लोकसभा,Lok Sabha
20,संयुक्त प्रगतिशील गठबंधन,United Progressive Alliance
