,hindi,english
0,आन्ध्र प्रदेश,Andhra Pradesh
1,भारत,India
2,शिरडी साईं बाबा,Sai Baba of Shirdi
3,अधिराजेन्द्र चोल,Athirajendra Chola
4,ऋग्वेद,Rigveda
5,कर,Tax
6,कांची,Kanchipuram
7,कावेरी नदी,Kaveri
8,काव्यादर्श,Kavyadarsha
9,कुलोतुंग चोल १,Kulottunga I
10,कृषि,Agriculture
11,कृष्ण तृतीय,Krishna III
12,गोपुरम,Gopuram
13,चालुक्य वंश,Chalukya dynasty
14,चीन,China (region)
15,चोल,Chola dynasty
16,जावा,Java (disambiguation)
17,झील,Lake
18,तंजौर,Thanjavur
19,तमिल,Tamils
20,तमिल व्याकरण,Tamil grammar
21,तमिल साहित्य,Tamil literature
22,तालाब,Pond
23,दक्षिण-पूर्वी एशिया,Southeast Asia
24,धर्मशास्त्र,Dharmaśāstra
25,नटराज,Nataraja
26,नौकरशाही,Bureaucracy
27,पल्लव वंश,Pallava dynasty
28,पशुपालन,Animal husbandry
29,पश्चिमी चालुक्य,Western Chalukya Empire
30,बहुविवाह,Polygamy
31,बाँध,Dam
32,ब्राह्मण,Brahmin
33,भवन,Building
34,भारत,India
35,मूर्तिकला,Sculpture
36,मैसूर,Mysore
37,यमुनाचार्य,Yamunacharya
38,राजाधिराज चोल १,Rajaraja I
39,राजाराज चोल १,Rajaraja I
40,राजेन्द्र चोल १,Rajendra Chola I
41,राजेन्द्र चोल २,Rajendra Chola II
42,राजेन्द्र चोल ३,Rajendra Chola III
43,रामानुज,Ramanuja
44,विजयनगर साम्राज्य,Vijayanagara Empire
45,विजयालय चोल,Vijayalaya Chola
46,विशिष्टाद्वैत,Vishishtadvaita
47,वीरराजेन्द्र चोल,Virarajendra Chola
48,वेद,Vedas
49,वैष्णव धर्म,Vaishnavism
50,शिव,Shiva
51,संगमयुग,Sangam period
52,संस्कृत,Sanskrit
53,संस्कृत साहित्य,Sanskrit literature
54,सती,Sati (Hindu goddess)
55,साम्राज्य,Empire
56,साहित्य,Literature
57,सिंचाई,Irrigation
58,सिंहल,Sinhala language
59,सुमात्रा,Sumatra
60,सेना,Military
61,हिन्दू,Hindus
62,अशोक,Ashoka
63,कात्यायन,Katyayana
64,तमिल भाषा,Tamil language
65,प्राचीन भारत,Outline of ancient India
66,मथुरा,Mathura
67,महाभारत,Mahabharata
68,मार्को पोलो,Marco Polo
69,यज्ञ,Yajna
70,राजधानी,Capital city
71,लंका,Lanka
72,विजयनगर,Vijayanagara
73,विजयनगर साम्राज्य,Vijayanagara Empire
74,संगम साहित्य,Sangam literature
75,करूर,Karur
76,केरल,Kerala
77,दक्षिण भारत,South India
78,संगम साहित्य,Sangam literature
