,hindi,english
0,अनुवाद,Translation
1,महाभारत,Mahabharata
2,अंत्येष्टि,Antyesti
3,अद्वैत आश्रम,Advaita Ashrama
4,अमेरिका,United States
5,आत्मा,Soul
6,आध्यात्मिकता,Spirituality
7,इंग्लैंड,England
8,इतिहास,History
9,इमैनुएल कांट,Immanuel Kant
10,ईश्वर,God
11,उपनिषद,Upanishads
12,कथा,Katha (storytelling format)
13,कन्याकुमारी,Kanyakumari
14,कर्म,Karma
15,कलकत्ता,Kolkata
16,कला,Art
17,कायस्थ,Kayastha
18,कीर्तन,Kirtan
19,केशव चंद्र सेन,Keshub Chandra Sen
20,गीता,Bhagavad Gita
21,गुरु,Guru
22,ग्वालियर,Gwalior
23,चार्ल्स डार्विन,Charles Darwin
24,जाति,Caste
25,जॉन स्टुअर्ट मिल,John Stuart Mill
26,डेविड ह्यूम,David Hume
27,तन्त्र,Tantra
28,दर्शन,Philosophy
29,देवता,Deva (Hinduism)
30,धर्म,Dharma
31,ध्यान,Attention
32,पिता,Father
33,पुराण,Puranas
34,पूजा,Puja (Hinduism)
35,फारसी,Persian language
36,बंगाली,Bengali language
37,बंगाली साहित्य,Bengali literature
38,बांग्ला,Bengali language
39,बेलूर मठ,Belur Math
40,ब्राह्मण,Brahmin
41,भक्ति,Bhakti
42,भगवद् गीता,Bhagavad Gita
43,भगवान शिव,Shiva
44,भगिनी निवेदिता,Sister Nivedita
45,भजन,Bhajan
46,भारत,India
47,भारतीय उपमहाद्वीप,Indian subcontinent
48,भारतीय शास्त्रीय संगीत,Indian classical music
49,भारतीय स्वतन्त्रता संग्राम,Indian independence movement
50,भौतिकवाद,Materialism
51,मकर संक्रान्ति,Makar Sankranti
52,महाभारत,Mahabharata
53,माता,Mother
54,माया,Maya (religion)
55,मूर्ति,Murti
56,मृत्यु,Death
57,मैकाले,Thomas Babington Macaulay
58,यूरोप,Europe
59,योग,Yoga
60,रवीन्द्रनाथ ठाकुर,Rabindranath Tagore
61,रामकृष्ण,Ramakrishna
62,रामकृष्ण परमहंस,Ramakrishna
63,रामकृष्ण मिशन,Ramakrishna Mission
64,रामायण,Ramayana
65,रायपुर,Raipur
66,राष्ट्रीय युवा दिवस,National Youth Day (India)
67,रोमां रोलां,Romain Rolland
68,वकील,Advocate
69,विवेकानन्द केन्द्र,Vivekananda Kendra
70,विश्व धर्म महासभा,Parliament of the World's Religions
71,वेद,Vedas
72,वेदांत,Vedanta
73,वेदान्त,Vedanta
74,शक्ति,Power
75,शिकागो,Chicago
76,शिक्षा दर्शन,Philosophy of education
77,शुक्ल यजुर्वेद,Yajurveda
78,श्रुति,Śruti
79,संयुक्त राज्य अमेरिका,United States
80,संसार,Universe
81,संस्कार,Samskara (Indian philosophy)
82,संस्कृत,Sanskrit
83,सनातन धर्म,Sanātanī
84,सामाजिक विज्ञान,Social science
85,साहित्य,Literature
86,स्तोत्र,Stotra
87,स्मृति,Smriti
88,हिन्दू धर्म,Hinduism
89,१२ जनवरी,January 12
90,१८६३,1863
91,१८९३,1893
92,१९०२,1902
93,४ जुलाई,July 4
94,कला,Art
95,कवि,Poet
96,नाटक,Drama
97,बांग्ला,Bengali language
98,संगीत,Music
99,अघोर नाथ गुप्ता,Aghore Nath Gupta
100,गिरीश चंद्र सेन,Girish Chandra Sen
101,गौर गोविंद राय,Gour Govinda Ray
102,प्रताप चंद्र मजूमदार,Protap Chunder Mozoomdar
103,बंगाल,Bengal
