,hindi,english
0,नितीश कुमार,Nitish Kumar
1,बिहार,Bihar
2,बिहार के मुख्यमंत्री,List of chief ministers of Bihar
3,भारत,India
4,भारत छोड़ो आन्दोलन,Quit India Movement
5,राज्य,State (polity)
6,लालू प्रसाद यादव,Lalu Prasad Yadav
7,सत्येन्द्र नारायण सिन्हा,Satyendra Narayan Sinha
8,समस्तीपुर,Samastipur
9,तेज प्रताप यादव,Tej Pratap Yadav
10,बिहार,Bihar
11,बिहार के मुख्यमंत्री,List of chief ministers of Bihar
12,भारत,India
13,लालू प्रसाद यादव,Lalu Prasad Yadav
14,बिहार,Bihar
15,बिहार के मुख्यमंत्री,List of chief ministers of Bihar
16,भारत,India
17,जमुई लोक सभा निर्वाचन क्षेत्र,Jamui (Lok Sabha constituency)
18,बिहार,Bihar
19,राजनीति,Politics
20,लोक जनशक्ति पार्टी,Lok Janshakti Party
21,सांसद,Member of parliament
